title,year,expected_task,source_doc,section,notes,checklist_row,doi,arxiv_id,openalex_url,in_openalex_candidate_papers,in_candidate_map,in_public_preview,in_public_preview_paper_list,covered_as_map_marker,map_record_count,missing_affiliation,missing_coordinates,marker_diagnostics,missing_stage,coverage_status,recommended_action,match_method,matched_public_title,matched_public_paper_id,manual_review,identity_review,exclusion_evidence,reconciliation_classification,reconciliation_evidence,reconciliation_reason,resolved_title,resolved_year,best_openalex_title_match,best_openalex_title_score,best_public_preview_title_match,best_public_preview_title_score,best_public_preview_paper_title_match,best_public_preview_paper_title_score
CSC-Net: Cross-Color Spatial Co-Occurrence Matrix Network for Detecting Synthesized Fake Images,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,111,,,,no,no,yes,yes,yes,5,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,CSC-Net: Cross-Color Spatial Co-Occurrence Matrix Network for Detecting Synthesized Fake Images,,no,,,,,,CSC-Net: Cross-Color Spatial Co-Occurrence Matrix Network for Detecting Synthesized Fake Images,2024,,0.000,,0.000,,0.000
CIFAKE: Image Classification and Explainable Identification of AI-Generated Synthetic Images,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,112,,,,yes,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,CIFAKE: Image Classification and Explainable Identification of AI-Generated Synthetic Images,curated:b698cb82df706d1a8c95,no,,,,,,CIFAKE: Image Classification and Explainable Identification of AI-Generated Synthetic Images,2024,,0.000,,0.000,,0.000
Advanced Detection of AI-Generated Images Through Vision Transformers,2024,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=IEEE Access, 2024",113,,,,yes,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Advanced Detection of AI-Generated Images Through Vision Transformers,,no,,,,,,Advanced Detection of AI-Generated Images Through Vision Transformers,2024,,0.000,,0.000,,0.000
MMGANGuard: A Robust Approach for Detecting Fake Images Generated by GANs Using Multi-Model Techniques,2024,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=IEEE Access, 2024",114,,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,MMGANGuard: A Robust Approach for Detecting Fake Images Generated by GANs Using Multi-Model Techniques,,no,,,,,,MMGANGuard: A Robust Approach for Detecting Fake Images Generated by GANs Using Multi-Model Techniques,2024,,0.000,,0.000,,0.000
Enhancing Interpretability in AI-Generated Image Detection with Genetic Programming,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,115,,,,yes,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Enhancing Interpretability in AI-Generated Image Detection with Genetic Programming,,no,,,,,,Enhancing Interpretability in AI-Generated Image Detection with Genetic Programming,2024,,0.000,,0.000,,0.000
MDTL-NET: Computer-generated image detection based on multi-scale deep texture learning,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,116,,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,MDTL-NET: Computer-Generated Image Detection Based on Multi-Scale Deep Texture Learning,,no,,,,,,MDTL-NET: Computer-generated image detection based on multi-scale deep texture learning,2024,,0.000,,0.000,,0.000
Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,117,10.1145/3658664.3659652,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,curated:19c7b91816312d2877c9,no,,,,,,Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,2024,,0.000,,0.000,,0.000
Whodunit: Detection and Attribution of Synthetic Images by Leveraging Model-specific Fingerprints,2024,detection_and_source_attribution,Z_Update_SID-2018-2025.docx,Detection,,118,10.1145/3643491.3660280,,,yes,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,Whodunit: Detection and Attribution of Synthetic Images by Leveraging Model-specific Fingerprints,,no,,,,,,Whodunit: Detection and Attribution of Synthetic Images by Leveraging Model-specific Fingerprints,2024,,0.000,,0.000,,0.000
Enhancing the Generalization of Synthetic Image Detection Models through the Exploration of Features in Deep Detection Models,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,119,,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Enhancing the Generalization of Synthetic Image Detection Models Through the Exploration of Features in Deep Detection Models,,no,,,,,,Enhancing the Generalization of Synthetic Image Detection Models through the Exploration of Features in Deep Detection Models,2024,,0.000,,0.000,,0.000
"Fake-GPT: Detecting Fake Image via Large Language Model. PRCV, 2024",2024,detection,Z_Update_SID-2018-2025.docx,Detection,,120,10.1007/978-981-97-8685-5_9,,,no,no,yes,yes,yes,4,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,Fake-GPT: Detecting Fake Image via Large Language Model,curated:40db3b79c5d83b80e5a4,no,,,,,,"Fake-GPT: Detecting Fake Image via Large Language Model. PRCV, 2024",2024,,0.000,,0.000,,0.000
A guided-based approach for deepfake detection: RGB-depth integration via features fusion,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,121,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,A Guided-Based Approach for Deepfake Detection: RGB-Depth Integration via Features Fusion,,no,,,,,,A guided-based approach for deepfake detection: RGB-depth integration via features fusion,2024,,0.000,,0.000,,0.000
Addressing Diffusion Model Based Counter-Forensic Image Manipulation for Synthetic Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,122,10.1145/3702250.3702296,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,Addressing Diffusion Model Based Counter-Forensic Image Manipulation for Synthetic Image Detection,curated:4a837e09b6b57f6f6d47,no,,,,,,Addressing Diffusion Model Based Counter-Forensic Image Manipulation for Synthetic Image Detection,2024,,0.000,,0.000,,0.000
"Detecting Artificial Intelligence-Generated images via deep trace representations and interactive feature fusion Image Fusion, 2024",2024,detection,Z_Update_SID-2018-2025.docx,Detection,,123,10.1016/j.inffus.2024.102578,,https://openalex.org/W4400616829,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,Detecting Artificial Intelligence-Generated Images via Deep Trace Representations and Interactive Feature Fusion,,no,,,SAME_PAPER_TITLE_VARIANT,https://api.crossref.org/works/10.1016/j.inffus.2024.102578,Crossref DOI and six authors confirm the same Information Fusion paper; appended venue/year caused mismatch.,Detecting Artificial Intelligence-Generated Images via Deep Trace Representations and Interactive Feature Fusion,2024,,0.000,,0.000,,0.000
Detecting AI Generated Images Through Texture and Frequency Analysis of Patches,2024,detection,Z_Update_SID-2018-2025.docx,Detection,"title_normalized=venue_suffix_removed; source_suffix=AIVRV, 2024",124,,,,yes,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Detecting AI Generated Images Through Texture and Frequency Analysis of Patches,,no,,,,,,Detecting AI Generated Images Through Texture and Frequency Analysis of Patches,2024,,0.000,,0.000,,0.000
IPD-Net: Detecting AI-Generated Images via Inter-Patch Dependencies,2024,detection,Z_Update_SID-2018-2025.docx,Detection,"title_normalized=venue_suffix_removed; source_suffix=IJACSA, 2024",125,,,,yes,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,IPD-Net: Detecting AI-Generated Images via Inter-Patch Dependencies,,no,,,,,,IPD-Net: Detecting AI-Generated Images via Inter-Patch Dependencies,2024,,0.000,,0.000,,0.000
A Single Simple Patch is All You Need for AI-generated Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,126,,,,yes,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,A Single Simple Patch is All You Need for AI-generated Image Detection,,no,,,,,,A Single Simple Patch is All You Need for AI-generated Image Detection,2024,,0.000,,0.000,,0.000
PatchCraft: Exploring Texture Patch for Efficient AI-generated Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,127,,,,yes,yes,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,PatchCraft: Exploring Texture Patch for Efficient AI-Generated Image Detection,curated:9d04c60c5b0b70859a63,no,,,,,,PatchCraft: Exploring Texture Patch for Efficient AI-generated Image Detection,2024,,0.000,,0.000,,0.000
Data-Independent Operator: A Training-Free Artifact Representation Extractor for Generalizable Deepfake Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,128,,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Data-Independent Operator: A Training-Free Artifact Representation Extractor for Generalizable Deepfake Detection,,no,,,,,,Data-Independent Operator: A Training-Free Artifact Representation Extractor for Generalizable Deepfake Detection,2024,,0.000,,0.000,,0.000
Deepfake Detection without Deepfakes: Generalization via Synthetic Frequency Patterns Injection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,129,,,,no,no,yes,yes,yes,4,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Deepfake Detection Without Deepfakes: Generalization via Synthetic Frequency Patterns Injection,,no,,,,,,Deepfake Detection without Deepfakes: Generalization via Synthetic Frequency Patterns Injection,2024,,0.000,,0.000,,0.000
Development of a Dual-Input Neural Model for Detecting AI-Generated Imagery,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,130,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Development of a Dual-Input Neural Model for Detecting AI-Generated Imagery,,no,,,,,,Development of a Dual-Input Neural Model for Detecting AI-Generated Imagery,2024,,0.000,,0.000,,0.000
Mixture of Low-rank Experts for Transferable AI-Generated Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,131,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Mixture of Low-Rank Experts for Transferable AI-Generated Image Detection,curated:9a84f4f666bcdda92186,no,,,,,,Mixture of Low-rank Experts for Transferable AI-Generated Image Detection,2024,,0.000,,0.000,,0.000
Detecting AI-Generated Images via CLIP,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,132,,,,no,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Detecting AI-Generated Images via CLIP,,no,ambiguous exact title: Detecting AI-Generated Images via CLIP | Detecting AI-Generated Images via CLIP,,,,,Detecting AI-Generated Images via CLIP,2024,,0.000,,0.000,,0.000
Text Modality Oriented Image Feature Extraction for Detecting Diffusion-based DeepFake,2024,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=arXiv 20240528,133,,,,no,no,yes,yes,yes,5,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Text Modality Oriented Image Feature Extraction for Detecting Diffusion-Based DeepFake,,no,,,,,,Text Modality Oriented Image Feature Extraction for Detecting Diffusion-based DeepFake,2024,,0.000,,0.000,,0.000
RIGID: A Training-free and Model-Agnostic Framework for Robust AI-Generated Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=arXiv, 20240530",134,,,,yes,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,RIGID: A Training-Free and Model-Agnostic Framework for Robust AI-Generated Image Detection,curated:4b406d0cf578db643214,no,,,,,,RIGID: A Training-free and Model-Agnostic Framework for Robust AI-Generated Image Detection,2024,,0.000,,0.000,,0.000
Real-Time Deepfake Detection in the Real-World,2024,detection,Z_Update_SID-2018-2025.docx,Detection | Dataset,"source_suffix=arXiv, 20240613; auxiliary; dataset",135,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Real-Time Deepfake Detection in the Real-World,curated:7e4d63017f1419256211,no,,,,,,Real-Time Deepfake Detection in the Real-World,2024,,0.000,,0.000,,0.000
Improving Interpretability and Robustness for the Detection of AI-Generated Images,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,136,,,,no,no,yes,yes,yes,9,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Improving Interpretability and Robustness for the Detection of AI-Generated Images,curated:fa317ff4ccce609227c0,no,,,,,,Improving Interpretability and Robustness for the Detection of AI-Generated Images,2024,,0.000,,0.000,,0.000
Robust CLIP-Based Detector for Exposing Diffusion Model-Generated Images,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,137,,2404.12908v2,,no,no,yes,yes,yes,4,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,arxiv,Robust CLIP-Based Detector for Exposing Diffusion Model-Generated Images,,no,,,,,,Robust CLIP-Based Detector for Exposing Diffusion Model-Generated Images,2024,,0.000,,0.000,,0.000
On the Effectiveness of Dataset Alignment for Fake Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=arXiv, 20241015",138,10.48550/arxiv.2410.11835,2410.11835,https://openalex.org/W4403575374,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,Aligned Datasets Improve Detection of Latent Diffusion-Generated Images,curated:0b34eeaa2b4f5b0a7b3b,no,,,EXISTING_CURRENT,https://arxiv.org/abs/2410.11835,Same arXiv 2410.11835 and author list establish original Dataset Alignment title as an earlier version of Aligned Datasets Improve Detection.,Aligned Datasets Improve Detection of Latent Diffusion-Generated Images,2025,,0.000,,0.000,,0.000
Towards More Accurate Fake Detection on Images Generated from Advanced Generative and Neural Rendering Models,2024,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=arXiv, 20241113",139,,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Towards More Accurate Fake Detection on Images Generated from Advanced Generative and Neural Rendering Models,curated:d9f9207830bec1da388f,no,,,,,,Towards More Accurate Fake Detection on Images Generated from Advanced Generative and Neural Rendering Models,2024,,0.000,,0.000,,0.000
Understanding and Improving Training-Free AI-Generated Image Detections with Vision Foundation Models,2024,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=arXiv, 20241128",140,,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Understanding and Improving Training-Free AI-Generated Image Detections with Vision Foundation Models,curated:fe2c4c4c423cdd91d6d3,no,,,,,,Understanding and Improving Training-Free AI-Generated Image Detections with Vision Foundation Models,2024,,0.000,,0.000,,0.000
HFI: A unified framework for training-free detection and implicit watermarking of latent diffusion model generated images,2024,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=arXiv, 20241230",141,10.48550/arxiv.2412.20704,2412.20704,,no,no,no,no,no,0,no,no,,excluded,excluded,no_action,,,,no,,"[{""created_at"": ""2026-07-13T20:25:45Z"", ""created_by"": ""local_admin"", ""doi"": ""10.48550/arxiv.2412.20704"", ""excluded_from_map"": ""true"", ""excluded_from_public_preview"": ""true"", ""exclusion_id"": ""exclusion-5d0fed121a9647488764f3fcd73ca989"", ""is_active"": ""true"", ""metadata_source"": """", ""openalex_url"": ""https://openalex.org/W4405956571"", ""paper_id"": """", ""reason"": ""other"", ""restore_note"": """", ""restored_at"": """", ""review_note"": ""preprint"", ""source_database"": ""OpenAlex"", ""title"": ""HFI: A unified framework for training-free detection and implicit watermarking of latent diffusion model generated images"", ""year"": ""2024""}]",EXCLUDE,https://arxiv.org/abs/2412.20704; https://openaccess.thecvf.com/content/CVPR2026/papers/Choi_A_Debiased_Reconstruction-based_Framework_for_Training-Free_Detection_of_AI-Generated_Images_CVPR_2026_paper.pdf,Recognize and preserve existing active maintainer exclusion exclusion-5d0fed121a9647488764f3fcd73ca989 (reason: other; review note: preprint). Resolved arXiv DOI makes this decision visible to the audit. Relationship to the later related publication remains unverified; do not merge or restore.,HFI: A unified framework for training-free detection and implicit watermarking of latent diffusion model generated images,2024,,0.000,,0.000,,0.000
A Sanity Check for AI-generated Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ICLR, 2025",142,,2406.19435,,yes,yes,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,arxiv,A Sanity Check for AI-Generated Image Detection,curated:f9eac1aa13a606c6ec88,no,,,,,,A Sanity Check for AI-generated Image Detection,2025,,0.000,,0.000,,0.000
Manifold Induced Biases for Zero-shot and Few-shot Detection of Generated Images,2025,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ICLR, 2025",143,,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Manifold Induced Biases for Zero-Shot and Few-Shot Detection of Generated Images,curated:4c10e64c5b8f09c7333e,no,,,,,,Manifold Induced Biases for Zero-shot and Few-shot Detection of Generated Images,2025,,0.000,,0.000,,0.000
Improving Synthetic Image Detection Towards Generalization: An Image Transformation Perspective,2025,detection,Z_Update_SID-2018-2025.docx,Detection,"title_normalized=venue_suffix_removed; source_suffix=KDD, 2025",144,,,,yes,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Improving Synthetic Image Detection Towards Generalization: An Image Transformation Perspective,curated:c45f9027e90830e4c9b6,no,,,,,,Improving Synthetic Image Detection Towards Generalization: An Image Transformation Perspective,2025,,0.000,,0.000,,0.000
C2P-CLIP: Injecting Category Common Prompt in CLIP to Enhance Generalization in Deepfake Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=AAAI, 2025",145,,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,C2P-CLIP: Injecting Category Common Prompt in CLIP to Enhance Generalization in Deepfake Detection,,no,,,,,,C2P-CLIP: Injecting Category Common Prompt in CLIP to Enhance Generalization in Deepfake Detection,2025,,0.000,,0.000,,0.000
Transfer Learning of Real Image Features with Soft Contrastive Loss for Fake Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=AAAI, 2025",146,,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Transfer Learning of Real Image Features with Soft Contrastive Loss for Fake Image Detection,curated:dc9126cc128e1b228717,no,,,,,,Transfer Learning of Real Image Features with Soft Contrastive Loss for Fake Image Detection,2025,,0.000,,0.000,,0.000
D^3 Scaling Up Deepfake Detection by Learning from Discrepancy,2025,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=CVPR, 2025",147,,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,D$^3$: Scaling Up Deepfake Detection by Learning from Discrepancy,curated:3bd79627ad7e70a28a97,no,,,,,,D^3 Scaling Up Deepfake Detection by Learning from Discrepancy,2025,,0.000,,0.000,,0.000
Any-Resolution AI-Generated Image Detection by Spectral Learning,2025,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=CVPR, 2025",148,,,,yes,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Any-Resolution AI-Generated Image Detection by Spectral Learning,,no,,,,,,Any-Resolution AI-Generated Image Detection by Spectral Learning,2025,,0.000,,0.000,,0.000
FIRE: Robust Detection of Diffusion-Generated Images via Frequency-Guided Reconstruction Error,2025,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=CVPR, 2025",149,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,FIRE: Robust Detection of Diffusion-Generated Images via Frequency-Guided Reconstruction Error,curated:b8119cd227de03702d48,no,,,,,,FIRE: Robust Detection of Diffusion-Generated Images via Frequency-Guided Reconstruction Error,2025,,0.000,,0.000,,0.000
A Bias-Free Training Paradigm for More General AI-generated Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=CVPR, 2025",150,,,,no,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,A Bias-Free Training Paradigm for More General AI-Generated Image Detection,curated:3da39d6e1e1f36089901,no,ambiguous exact title: A Bias-Free Training Paradigm for More General AI-generated Image Detection | A Bias-Free Training Paradigm for More General AI-generated Image Detection,,,,,A Bias-Free Training Paradigm for More General AI-generated Image Detection,2025,,0.000,,0.000,,0.000
"SIDA: Social Media Image Deepfake Detection, Localization and Explanation with Large Multimodal Model",2025,detection,Z_Update_SID-2018-2025.docx,Detection | Dataset,"source_suffix=CVPR, 2025; auxiliary; dataset",151,,,,yes,yes,yes,yes,yes,4,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,"SIDA: Social Media Image Deepfake Detection, Localization and Explanation with Large Multimodal Model",,no,,,,,,"SIDA: Social Media Image Deepfake Detection, Localization and Explanation with Large Multimodal Model",2025,,0.000,,0.000,,0.000
OpenSDI: Spotting Diffusion-Generated Images in the Open World,2025,detection,Z_Update_SID-2018-2025.docx,Detection | Dataset,"source_suffix=CVPR, 2025; auxiliary; dataset",152,,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,OpenSDI: Spotting Diffusion-Generated Images in the Open World,curated:4b3b8e9895b44de7c752,no,,,,,,OpenSDI: Spotting Diffusion-Generated Images in the Open World,2025,,0.000,,0.000,,0.000
Towards Universal AI-Generated Image Detection by Variational Information Bottleneck Network,2025,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=CVPR, 2025",153,,,,yes,yes,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Towards Universal AI-Generated Image Detection by Variational Information Bottleneck Network,curated:7de6b05d38d72f0848f7,no,,,,,,Towards Universal AI-Generated Image Detection by Variational Information Bottleneck Network,2025,,0.000,,0.000,,0.000
Secret Lies in Color: Enhancing AI-Generated Images Detection with Color Distribution Analysis,2025,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=CVPR, 2025",154,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Secret Lies in Color: Enhancing AI-Generated Images Detection with Color Distribution Analysis,curated:b2fccf1dd66cc2d64374,no,,,,,,Secret Lies in Color: Enhancing AI-Generated Images Detection with Color Distribution Analysis,2025,,0.000,,0.000,,0.000
Beyond Generation: A Diffusion-based Low-level Feature Extractor for Detecting AI-generated Images,2025,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=CVPR, 2025",155,,,,yes,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Beyond Generation: A Diffusion-based Low-level Feature Extractor for Detecting AI-generated Images,,no,,,,,,Beyond Generation: A Diffusion-based Low-level Feature Extractor for Detecting AI-generated Images,2025,,0.000,,0.000,,0.000
CO-SPY: Combining Semantic and Pixel Features to Detect Synthetic Images by AI,2025,detection,Z_Update_SID-2018-2025.docx,Detection | Dataset,"source_suffix=CVPR, 2025; auxiliary; dataset",156,,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,CO-SPY: Combining Semantic and Pixel Features to Detect Synthetic Images by AI,curated:aa742a2409569b68d2c4,no,,,,,,CO-SPY: Combining Semantic and Pixel Features to Detect Synthetic Images by AI,2025,,0.000,,0.000,,0.000
Forensics-Bench: A Comprehensive Forgery Detection Benchmark Suite for Large Vision Language Models,2025,detection,Z_Update_SID-2018-2025.docx,Detection,"auxiliary; benchmark; source_suffix=CVPR, 2025",157,,,,no,no,yes,yes,yes,8,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Forensics-Bench: A Comprehensive Forgery Detection Benchmark Suite for Large Vision Language Models,curated:762982679d91cd198a41,no,,,,,,Forensics-Bench: A Comprehensive Forgery Detection Benchmark Suite for Large Vision Language Models,2025,,0.000,,0.000,,0.000
Where’s the liability in the Generative Era? Recovery-based Black-Box Detection of AI-Generated Content,2025,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=CVPR, 2025",158,,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Where's the Liability in the Generative Era? Recovery-Based Black-Box Detection of AI-Generated Content,curated:ef5f9b419eef35c5c255,no,,,,,,Where’s the liability in the Generative Era? Recovery-based Black-Box Detection of AI-Generated Content,2025,,0.000,,0.000,,0.000
Spot the Fake: Large Multimodal Model-Based Synthetic Image Detection with Artifact Explanation,2025,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=NeurIPS, 2025",159,,,,no,no,yes,yes,yes,5,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Spot the Fake: Large Multimodal Model-Based Synthetic Image Detection with Artifact Explanation,curated:31a4d429d7c5750bd778,no,,,,,,Spot the Fake: Large Multimodal Model-Based Synthetic Image Detection with Artifact Explanation,2025,,0.000,,0.000,,0.000
FerretNet: Efficient Synthetic Image Detection via Local Pixel Dependencies,2025,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=NeurIPS, 2025",160,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,FerretNet: Efficient Synthetic Image Detection via Local Pixel Dependencies,curated:dd05c4a609d902da8c1d,no,,,,,,FerretNet: Efficient Synthetic Image Detection via Local Pixel Dependencies,2025,,0.000,,0.000,,0.000
AIGI-Holmes: Towards Explainable and Generalizable AI-Generated Image Detection via Multimodal Large Language Models,2025,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ICCV, 2025",161,,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,AIGI-Holmes: Towards Explainable and Generalizable AI-Generated Image Detection via Multimodal Large Language Models,curated:2465f28a94bb45bec499,no,,,,,,AIGI-Holmes: Towards Explainable and Generalizable AI-Generated Image Detection via Multimodal Large Language Models,2025,,0.000,,0.000,,0.000
D3QE: Learning Discrete Distribution Discrepancy-aware Quantization Error for Autoregressive-Generated Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection | Dataset,"source_suffix=ICCV, 2025; auxiliary; dataset",162,10.1109/iccv51701.2025.01512,2510.05891,https://openalex.org/W7160175092,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,D <sup>3</sup> QE: Learning Discrete Distribution Discrepancy-Aware Quantization Error for Autoregressive-Generated Image Detection,curated:3e94d8fc69e41aade2cc,no,,,SAME_PAPER_TITLE_VARIANT,https://arxiv.org/abs/2510.05891,"Official ICCV/arXiv title, eight authors and arXiv 2510.05891 confirm D3QE vs HTML superscript title encoding.",D <sup>3</sup> QE: Learning Discrete Distribution Discrepancy-Aware Quantization Error for Autoregressive-Generated Image Detection,2025,,0.000,,0.000,,0.000
Diffusion Epistemic Uncertainty with Asymmetric Learning for Diffusion-Generated Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ICCV, 2025",163,,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Diffusion Epistemic Uncertainty with Asymmetric Learning for Diffusion-Generated Image Detection,curated:aa6672aa3ab0a0709e32,no,,,,,,Diffusion Epistemic Uncertainty with Asymmetric Learning for Diffusion-Generated Image Detection,2025,,0.000,,0.000,,0.000
LOTA: Bit-Planes Guided AI-Generated Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ICCV, 2025",164,,,,yes,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,LOTA: Bit-Planes Guided AI-Generated Image Detection,curated:10d9805bad6f63bf6789,no,,,,,,LOTA: Bit-Planes Guided AI-Generated Image Detection,2025,,0.000,,0.000,,0.000
