title,year,authors,doi,arxiv_id,openalex_url,paper_url,expected_task,source_doc,section,notes,openalex_link_status,openalex_link_reason,search_strategy_used,candidate_source_query,title_similarity,candidate_title,candidate_year,candidate_openalex_url,candidate_doi,candidate_paper_url,enriched_openalex_url,enriched_doi,enriched_paper_url
Transfer Learning of Real Image Features with Soft Contrastive Loss for Fake Image Detection,2025,"Ziyou Liang, Weifeng Liu, Run Wang, Mengjie Wu, Boheng Li, Yuyang Zhang, Lina Wang, Xinyi Yang 武汉大学",,,,https://ojs.aaai.org/index.php/AAAI/article/view/34826,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=AAAI, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 1.,search,Transfer Learning of Real Image Features with Soft Contrastive Loss for Fake Image Detection,1.000,Transfer Learning of Real Image Features with Soft Contrastive Loss for Fake Image Detection,2024,https://openalex.org/W4393213376,10.48550/arxiv.2403.16513,http://arxiv.org/abs/2403.16513,https://openalex.org/W4393213376,10.48550/arxiv.2403.16513,http://arxiv.org/abs/2403.16513
D^3 Scaling Up Deepfake Detection by Learning from Discrepancy,2025,"Yongqi Yang, Zhihao Qian, Ye Zhu, Yu Wu. 武汉大学",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=CVPR, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 1.,search,D 3 Scaling Up Deepfake Detection by Learning from Discrepancy,1.000,D$^3$: Scaling Up Deepfake Detection by Learning from Discrepancy,2024,https://openalex.org/W4394653966,10.48550/arxiv.2404.04584,http://arxiv.org/abs/2404.04584,https://openalex.org/W4394653966,10.48550/arxiv.2404.04584,http://arxiv.org/abs/2404.04584
Any-Resolution AI-Generated Image Detection by Spectral Learning,2025,"Dimitrios Karageorgiou, Symeon Papadopoulos, Ioannis Kompatsiaris, Efstratios Gavves CERTH",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=CVPR, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,Any-Resolution AI-Generated Image Detection by Spectral Learning,1.000,Any-Resolution AI-Generated Image Detection by Spectral Learning,2025,https://openalex.org/W4413144629,10.1109/cvpr52734.2025.01743,https://doi.org/10.1109/cvpr52734.2025.01743,https://openalex.org/W4413144629,10.1109/cvpr52734.2025.01743,https://doi.org/10.1109/cvpr52734.2025.01743
FIRE: Robust Detection of Diffusion-Generated Images via Frequency-Guided Reconstruction Error,2025,"Beilin Chu, Xuan Xu, Xin Wang, Yufei Zhang, Weike You, Linna Zhou. 北邮",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=CVPR, 2025",linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,FIRE Robust Detection of Diffusion-Generated Images via Frequency-Guided Reconstruction Error,1.000,FIRE: Robust Detection of Diffusion-Generated Images via Frequency-Guided Reconstruction Error,2025,https://openalex.org/W4413145084,10.1109/cvpr52734.2025.01197,https://doi.org/10.1109/cvpr52734.2025.01197,https://openalex.org/W4413145084,10.1109/cvpr52734.2025.01197,https://doi.org/10.1109/cvpr52734.2025.01197
A Bias-Free Training Paradigm for More General AI-generated Image Detection,2025,"Fabrizio Guillaro, Giada Zingarini, Ben Usman, Avneesh Sud, Davide Cozzolino, Luisa Verdoliva.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=CVPR, 2025",linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,A Bias-Free Training Paradigm for More General AI-generated Image Detection,1.000,A Bias-Free Training Paradigm for More General AI-generated Image Detection,2025,https://openalex.org/W4413145917,10.1109/cvpr52734.2025.01741,https://doi.org/10.1109/cvpr52734.2025.01741,https://openalex.org/W4413145917,10.1109/cvpr52734.2025.01741,https://doi.org/10.1109/cvpr52734.2025.01741
"SIDA: Social Media Image Deepfake Detection, Localization and Explanation with Large Multimodal Model",2025,"Zhenglin Huang, Jinwei Hu, Xiangtai Li, Yiwei He, Xingyu Zhao, Bei Peng, Baoyuan Wu, Xiaowei Huang, Guangliang Cheng",,,,,detection,Z_Update_SID-2018-2025.docx,Detection | Dataset,"source_suffix=CVPR, 2025; auxiliary; dataset",linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,SIDA Social Media Image Deepfake Detection Localization and Explanation with Large Multimodal Model,1.000,"SIDA: Social Media Image Deepfake Detection, Localization and Explanation with Large Multimodal Model",2025,https://openalex.org/W4413144523,10.1109/cvpr52734.2025.02685,https://doi.org/10.1109/cvpr52734.2025.02685,https://openalex.org/W4413144523,10.1109/cvpr52734.2025.02685,https://doi.org/10.1109/cvpr52734.2025.02685
OpenSDI: Spotting Diffusion-Generated Images in the Open World,2025,"Yabin Wang, Zhiwu Huang, Xiaopeng Hong 西交&英国南安普顿&哈工大",,,,,detection,Z_Update_SID-2018-2025.docx,Detection | Dataset,"source_suffix=CVPR, 2025; auxiliary; dataset",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,OpenSDI Spotting Diffusion-Generated Images in the Open World,1.000,OpenSDI: Spotting Diffusion-Generated Images in the Open World,2025,https://openalex.org/W4413145584,10.1109/cvpr52734.2025.00405,https://doi.org/10.1109/cvpr52734.2025.00405,https://openalex.org/W4413145584,10.1109/cvpr52734.2025.00405,https://doi.org/10.1109/cvpr52734.2025.00405
Towards Universal AI-Generated Image Detection by Variational Information Bottleneck Network,2025,Haifeng Zhang · Qinghui He · Xiuli Bi · Weisheng Li · Bo Liu · Bin Xiao,,,,,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=CVPR, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,Towards Universal AI-Generated Image Detection by Variational Information Bottleneck Network,1.000,Towards Universal AI-Generated Image Detection by Variational Information Bottleneck Network,2025,https://openalex.org/W4413144713,10.1109/cvpr52734.2025.02219,https://doi.org/10.1109/cvpr52734.2025.02219,https://openalex.org/W4413144713,10.1109/cvpr52734.2025.02219,https://doi.org/10.1109/cvpr52734.2025.02219
Secret Lies in Color: Enhancing AI-Generated Images Detection with Color Distribution Analysis,2025,Zexi Jia · Chuanwei Huang · Yeshuang Zhu · Hongyan Fei · Xiaoyue Duan · Yuan Zhiqiang · Ying Deng · Jiapei Zhang · Jinchao Zhang · Jie Zhou,,,,,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=CVPR, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,Secret Lies in Color Enhancing AI-Generated Images Detection with Color Distribution Analysis,1.000,Secret Lies in Color: Enhancing AI-Generated Images Detection with Color Distribution Analysis,2025,https://openalex.org/W4413146372,10.1109/cvpr52734.2025.01255,https://doi.org/10.1109/cvpr52734.2025.01255,https://openalex.org/W4413146372,10.1109/cvpr52734.2025.01255,https://doi.org/10.1109/cvpr52734.2025.01255
Beyond Generation: A Diffusion-based Low-level Feature Extractor for Detecting AI-generated Images,2025,Nan Zhong · Haoyu Chen · Yiran Xu · Zhenxing Qian · Xinpeng Zhang,,,,,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=CVPR, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,Beyond Generation A Diffusion-based Low-level Feature Extractor for Detecting AI-generated Images,1.000,Beyond Generation: A Diffusion-based Low-level Feature Extractor for Detecting AI-generated Images,2025,https://openalex.org/W4413146215,10.1109/cvpr52734.2025.00773,https://doi.org/10.1109/cvpr52734.2025.00773,https://openalex.org/W4413146215,10.1109/cvpr52734.2025.00773,https://doi.org/10.1109/cvpr52734.2025.00773
CO-SPY: Combining Semantic and Pixel Features to Detect Synthetic Images by AI,2025,"Siyuan Cheng, Lingjuan Lyu, Zhenting Wang, Xiangyu Zhang, Vikash Sehwag 普渡大学",,,,https://openaccess.thecvf.com/content/CVPR2025/papers/Cheng_CO-SPY_Combining_Semantic_and_Pixel_Features_to_Detect_Synthetic_Images_CVPR_2025_paper.pdf,detection,Z_Update_SID-2018-2025.docx,Detection | Dataset,"source_suffix=CVPR, 2025; auxiliary; dataset",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,CO-SPY Combining Semantic and Pixel Features to Detect Synthetic Images by AI,1.000,CO-SPY: Combining Semantic and Pixel Features to Detect Synthetic Images by AI,2025,https://openalex.org/W4413146055,10.1109/cvpr52734.2025.01256,https://doi.org/10.1109/cvpr52734.2025.01256,https://openalex.org/W4413146055,10.1109/cvpr52734.2025.01256,https://doi.org/10.1109/cvpr52734.2025.01256
Forensics-Bench: A Comprehensive Forgery Detection Benchmark Suite for Large Vision Language Models,2025,"Jin Wang, Chenghui Lv, Xian Li, Shichao Dong, Huadong Li, Kelu Yao, Chao Li, Wenqi Shao, Ping Luo",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,"auxiliary; benchmark; source_suffix=CVPR, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,Forensics-Bench A Comprehensive Forgery Detection Benchmark Suite for Large Vision Language Models,1.000,Forensics-Bench: A Comprehensive Forgery Detection Benchmark Suite for Large Vision Language Models,2025,https://openalex.org/W4413156425,10.1109/cvpr52734.2025.00400,https://doi.org/10.1109/cvpr52734.2025.00400,https://openalex.org/W4413156425,10.1109/cvpr52734.2025.00400,https://doi.org/10.1109/cvpr52734.2025.00400
Where’s the liability in the Generative Era? Recovery-based Black-Box Detection of AI-Generated Content,2025,"Haoyue Bai, Yiyou Sun, Wei Cheng, Haifeng Chen University of Wisconsin-Madison",,,,https://openaccess.thecvf.com/content/CVPR2025/papers/Bai_Wheres_the_Liability_in_the_Generative_Era_Recovery-based_Black-Box_Detection_CVPR_2025_paper.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=CVPR, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,Where’s the liability in the Generative Era Recovery-based Black-Box Detection of AI-Generated Content,1.000,Where's the liability in the Generative Era? Recovery-based Black-Box Detection of AI-Generated Content,2025,https://openalex.org/W4414769856,10.48550/arxiv.2505.01008,http://arxiv.org/abs/2505.01008,https://openalex.org/W4414769856,10.48550/arxiv.2505.01008,http://arxiv.org/abs/2505.01008
Spot the Fake: Large Multimodal Model-Based Synthetic Image Detection with Artifact Explanation,2025,"Siwei Wen, Junyan Ye, Peilin Feng, Hengrui Kang, Zichen Wen, Yize Chen, Jiang Wu, Wenjun Wu, Conghui He, Weijia Li 上海AI实验室&中山大学&北航&上交&港中文",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=NeurIPS, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,Spot the Fake Large Multimodal Model-Based Synthetic Image Detection with Artifact Explanation,1.000,Spot the Fake: Large Multimodal Model-Based Synthetic Image Detection with Artifact Explanation,2025,https://openalex.org/W4414902235,10.48550/arxiv.2503.14905,http://arxiv.org/abs/2503.14905,https://openalex.org/W4414902235,10.48550/arxiv.2503.14905,http://arxiv.org/abs/2503.14905
FerretNet: Efficient Synthetic Image Detection via Local Pixel Dependencies,2025,"Shuqiao Liang, Jian Liu, Renzhang Chen∗, Quanlong Guan 济南大学",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=NeurIPS, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,FerretNet Efficient Synthetic Image Detection via Local Pixel Dependencies,1.000,FerretNet: Efficient Synthetic Image Detection via Local Pixel Dependencies,2025,https://openalex.org/W4414789480,10.48550/arxiv.2509.20890,http://arxiv.org/abs/2509.20890,https://openalex.org/W4414789480,10.48550/arxiv.2509.20890,http://arxiv.org/abs/2509.20890
AIGI-Holmes: Towards Explainable and Generalizable AI-Generated Image Detection via Multimodal Large Language Models,2025,"Ziyin Zhou, Yunpeng Luo, Yuanchen Wu, Ke Sun, Jiayi Ji, Ke Yan, Shouhong Ding, Xiaoshuai Sun, Yunsheng Wu, Rongrong Ji 厦门大学",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ICCV, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,AIGI-Holmes Towards Explainable and Generalizable AI-Generated Image Detection via Multimodal Large Language Models,1.000,Aigi-Holmes: Towards Explainable and Generalizable AI-Generated Image Detection via Multimodal Large Language Models,2025,https://openalex.org/W4415343382,10.1109/iccv51701.2025.01742,https://doi.org/10.1109/iccv51701.2025.01742,https://openalex.org/W4415343382,10.1109/iccv51701.2025.01742,https://doi.org/10.1109/iccv51701.2025.01742
D3QE: Learning Discrete Distribution Discrepancy-aware Quantization Error for Autoregressive-Generated Image Detection,2025,"Yanran Zhang, Bingyao Yu, Yu Zheng, Wenzhao Zheng, Yueqi Duan, Lei Chen, Jie Zhou, Jiwen Lu 清华大学",,,,,detection,Z_Update_SID-2018-2025.docx,Detection | Dataset,"source_suffix=ICCV, 2025; auxiliary; dataset",linked_to_openalex,strong normalized-title similarity; similarity 0.979; year difference 0.,search,D3QE Learning Discrete Distribution Discrepancy-aware Quantization Error for Autoregressive-Generated Image Detection,0.979,$\bf{D^3}$QE: Learning Discrete Distribution Discrepancy-aware Quantization Error for Autoregressive-Generated Image Detection,2025,https://openalex.org/W4414979736,10.48550/arxiv.2510.05891,http://arxiv.org/abs/2510.05891,https://openalex.org/W4414979736,10.48550/arxiv.2510.05891,http://arxiv.org/abs/2510.05891
Diffusion Epistemic Uncertainty with Asymmetric Learning for Diffusion-Generated Image Detection,2025,"Yingsong Huang, Hui Guo, Jing Huang, Bing Bai, Qi Xiong Tencent / Hikvision / Microsoft",,,,https://openaccess.thecvf.com/content/ICCV2025/papers/Huang_Diffusion_Epistemic_Uncertainty_with_Asymmetric_Learning_for_Diffusion-Generated_Image_Detection_ICCV_2025_paper.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ICCV, 2025",linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 3 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Diffusion Epistemic Uncertainty with Asymmetric Learning for Diffusion-Generated Image Detection,1.000,Diffusion Epistemic Uncertainty with Asymmetric Learning for Diffusion-Generated Image Detection,2025,https://openalex.org/W7160128830,10.1109/iccv51701.2025.01588,https://doi.org/10.1109/iccv51701.2025.01588,https://openalex.org/W7160128830,10.1109/iccv51701.2025.01588,https://doi.org/10.1109/iccv51701.2025.01588
LOTA: Bit-Planes Guided AI-Generated Image Detection,2025,"Hongsong Wang, Renxi Cheng, Yang Zhang, Chaolei Han, Jie Gui 东南大学",,,,https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LOTA_Bit-Planes_Guided_AI-Generated_Image_Detection_ICCV_2025_paper.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ICCV, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,LOTA Bit-Planes Guided AI-Generated Image Detection,1.000,LOTA: Bit-Planes Guided AI-Generated Image Detection,2025,https://openalex.org/W7160100074,10.1109/iccv51701.2025.01602,https://doi.org/10.1109/iccv51701.2025.01602,https://openalex.org/W7160100074,10.1109/iccv51701.2025.01602,https://doi.org/10.1109/iccv51701.2025.01602
LEGION: Learning to Ground and Explain for Synthetic Image Detection,2025,"Hengrui Kang, Siwei Wen, Zichen Wen, Junyan Ye, Weijia Li, Peilin Feng, Baichuan Zhou, Bin Wang, Dahua Lin, Linfeng Zhang, Conghui He 上交&北航&中山大学",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ICCV, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,LEGION Learning to Ground and Explain for Synthetic Image Detection,1.000,LEGION: Learning to Ground and Explain for Synthetic Image Detection,2025,https://openalex.org/W4414903171,10.1109/iccv51701.2025.01760,https://doi.org/10.1109/iccv51701.2025.01760,https://openalex.org/W4414903171,10.1109/iccv51701.2025.01760,https://doi.org/10.1109/iccv51701.2025.01760
Semantic Discrepancy-aware Detector for Image Forgery Identification,2025,"Ziye Wang, Minghang Yu, Chunyan Xu, Zhen Cui. 南京科技大学",,,,https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_Semantic_Discrepancy-aware_Detector_for_Image_Forgery_Identification_ICCV_2025_paper.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ICCV, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,Semantic Discrepancy-aware Detector for Image Forgery Identification,1.000,Semantic Discrepancy-Aware Detector for Image Forgery Identification,2025,https://openalex.org/W4414487140,10.1109/iccv51701.2025.01709,https://doi.org/10.1109/iccv51701.2025.01709,https://openalex.org/W4414487140,10.1109/iccv51701.2025.01709,https://doi.org/10.1109/iccv51701.2025.01709
ForgeLens: Data-Efficient Forgery Focus for Generalizable Forgery Image Detection,2025,"Yingjian Chen, Lei Zhang, Yakun Niu 河南大学",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ICCV, 2025",linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,ForgeLens Data-Efficient Forgery Focus for Generalizable Forgery Image Detection,1.000,ForgeLens: Data-Efficient Forgery Focus for Generalizable Forgery Image Detection,2025,https://openalex.org/W7160017581,10.1109/iccv51701.2025.01510,https://doi.org/10.1109/iccv51701.2025.01510,https://openalex.org/W7160017581,10.1109/iccv51701.2025.01510,https://doi.org/10.1109/iccv51701.2025.01510
Adaptive Test-Time Semantic Debiasing for AI-Generated Image Detection,2025,"Yu Cai, Jiahe Tian, Xiaomeng Fu, Jiao Dai, Jizhong Han, Siwei Lyu. State University of New York at Buffalo & 中科院",,,,https://openaccess.thecvf.com/content/ICCV2025W/APAI/papers/Cai_Adaptive_Test-Time_Semantic_Debiasing_for_AI-Generated_Image_Detection_ICCVW_2025_paper.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ICCV-W, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,Adaptive Test-Time Semantic Debiasing for AI-Generated Image Detection,1.000,Adaptive Test-Time Semantic Debiasing for AI-Generated Image Detection,2025,https://openalex.org/W7131078162,10.1109/iccvw69036.2025.00165,https://doi.org/10.1109/iccvw69036.2025.00165,https://openalex.org/W7131078162,10.1109/iccvw69036.2025.00165,https://doi.org/10.1109/iccvw69036.2025.00165
CatAID: Category-Guided AI-Generated Image Detection via Vision-Language Model Adaptation,2025,"Yu Cai, Shan Jia, Jiahe Tian, Jiao Dai, Jizhong Han, Siwei Lyu. State University of New York at Buffalo & 中科院",,,,https://openaccess.thecvf.com/content/ICCV2025W/APAI/papers/Cai_CatAID_Category-Guided_AI-Generated_Image_Detection_via_Vision-Language_Model_Adaptation_ICCVW_2025_paper.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ICCV-W, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,CatAID Category-Guided AI-Generated Image Detection via Vision-Language Model Adaptation,1.000,CatAID: Category-Guided AI-Generated Image Detection via Vision-Language Model Adaptation,2025,https://openalex.org/W7131117798,10.1109/iccvw69036.2025.00166,https://doi.org/10.1109/iccvw69036.2025.00166,https://openalex.org/W7131117798,10.1109/iccvw69036.2025.00166,https://doi.org/10.1109/iccvw69036.2025.00166
SAGNet: Decoupling Semantic-Agnostic Artifacts From Limited Training Data for Robust Generalization in Deepfake Detection,2025,Renshuai Tao; Chuangchuang Tan; Huan Liu; Jiakai Wang; Haotong Qin; Yakun Chang; Wei Wang; Rongrong Ni; Yao Zhao 北交,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11045799,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=TIFS, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,SAGNet Decoupling Semantic-Agnostic Artifacts From Limited Training Data for Robust Generalization in Deepfake Detection,1.000,SAGNet: Decoupling Semantic-Agnostic Artifacts From Limited Training Data for Robust Generalization in Deepfake Detection,2025,https://openalex.org/W4411484192,10.1109/tifs.2025.3581726,https://doi.org/10.1109/tifs.2025.3581726,https://openalex.org/W4411484192,10.1109/tifs.2025.3581726,https://doi.org/10.1109/tifs.2025.3581726
Are High-Quality AI-Generated Images More Difficult for Models to Detect?,2025,"Yao Xiao, Binbin Yang, Weiyan Chen, Jiahao Chen, Zijie Cao, Ziyi Dong, Xiangyang Ji, Liang Lin, Wei Ke, Pengxu Wei 中山大学",,,,https://openreview.net/pdf?id=sKYdVKE1tS,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ICML, 2025",not_found_in_openalex,No plausible title match; best similarity was 0.422.,search,Are High-Quality AI-Generated Images More Difficult for Models to Detect,0.422,"Conceptual Captions: A Cleaned, Hypernymed, Image Alt-text Dataset For Automatic Image Captioning",2018,https://openalex.org/W2886641317,10.18653/v1/p18-1238,https://doi.org/10.18653/v1/p18-1238,,,
Few-Shot Learner Generalizes Across AI-Generated Image Detection,2025,"Shiyu Wu, Jing Liu, Jing Li, Yequan Wang",,,,https://openreview.net/pdf?id=uvU29AfoNT,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ICML, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search.title,Few-Shot Learner Generalizes Across AI-Generated Image Detection,1.000,Few-Shot Learner Generalizes Across AI-Generated Image Detection,2025,https://openalex.org/W4406484960,10.48550/arxiv.2501.08763,http://arxiv.org/abs/2501.08763,https://openalex.org/W4406484960,10.48550/arxiv.2501.08763,http://arxiv.org/abs/2501.08763
PiD: Generalized AI-Generated Images Detection with Pixelwise Decomposition Residuals,2025,"Xinghe Fu, Zhiyuan Yan, Zheng Yang, Taiping Yao, Yandan Zhao, Shouhong Ding, Xi Li",,,,https://openreview.net/pdf?id=gye2zYytx6,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ICML, 2025",not_found_in_openalex,No plausible title match; best similarity was 0.575.,search,PiD Generalized AI-Generated Images Detection with Pixelwise Decomposition Residuals,0.575,"Fully AI-Generated Image Detection: Definition, Recent Advances and Challenges",2025,https://openalex.org/W4416149370,10.48550/arxiv.2502.19716,http://arxiv.org/abs/2502.19716,,,
Orthogonal Subspace Decomposition for Generalizable AI-Generated Image Detection,2025,"Zhiyuan Yan, Jiangming Wang, Peng Jin, Ke-Yue Zhang, Chengchun Liu, Shen Chen, Taiping Yao, Shouhong Ding, Baoyuan Wu, Li Yuan 北大&腾讯优图&港中文",,,,https://openreview.net/pdf?id=GFpjO8S8Po,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ICML, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 1.,search,Orthogonal Subspace Decomposition for Generalizable AI-Generated Image Detection,1.000,Orthogonal Subspace Decomposition for Generalizable AI-Generated Image Detection,2024,https://openalex.org/W4404986693,10.48550/arxiv.2411.15633,http://arxiv.org/abs/2411.15633,https://openalex.org/W4404986693,10.48550/arxiv.2411.15633,http://arxiv.org/abs/2411.15633
Stay-Positive: A Case for Ignoring Real Image Features in Fake Image Detection,2025,"Anirudh Sundara Rajan, Yong Jae Lee University of Wisconsin-Madison",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ICML, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,Stay-Positive A Case for Ignoring Real Image Features in Fake Image Detection,1.000,Stay-Positive: A Case for Ignoring Real Image Features in Fake Image Detection,2025,https://openalex.org/W4407425880,10.48550/arxiv.2502.07778,http://arxiv.org/abs/2502.07778,https://openalex.org/W4407425880,10.48550/arxiv.2502.07778,http://arxiv.org/abs/2502.07778
ExDA: Towards Universal Detection and Plug-and-Play Attribution of AI-Generated Ex-Regulatory Images,2025,"Wenpeng Mu, Zheng Li, Qiang Xu, Xinghao Jiang, Tanfeng Sun 上海交通大学",,,,,detection_and_source_attribution,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ACM MM, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,ExDA Towards Universal Detection and Plug-and-Play Attribution of AI-Generated Ex-Regulatory Images,1.000,ExDA: Towards Universal Detection and Plug-and-Play Attribution of AI-Generated Ex-Regulatory Images,2025,https://openalex.org/W4415538223,10.1145/3746027.3755434,https://doi.org/10.1145/3746027.3755434,https://openalex.org/W4415538223,10.1145/3746027.3755434,https://doi.org/10.1145/3746027.3755434
"Self-supervised Bidirectional Synchronization Estimation for Multimodal Deepfake Detection with Short-term Dependency. ICMR, 2025",2025,"Man Xiao, Jianbin Ye, Bo Liu, Zijian Gao, Kele Xu, Xiaodong Wang 国防科大",10.1145/3731715.3733429,,,https://dl.acm.org/doi/pdf/10.1145/3731715.3733429,detection,Z_Update_SID-2018-2025.docx,Detection,,not_found_in_openalex,No plausible title match; best similarity was 0.286.,search,Self-supervised Bidirectional Synchronization Estimation for Multimodal Deepfake Detection with Short-term Dependency ICMR 2025,0.286,Enhancing EEG Decoding with Selective Augmentation Integration,2026,https://openalex.org/W7119478889,10.3390/s26020399,https://doi.org/10.3390/s26020399,,,
"LAID: Lightweight AI-Generated Image Detection in Spatial and Spectral Domains. PST, 2025",2025,"Nicholas Chivaran, Jianbing Ni",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,,not_found_in_openalex,No plausible title match; best similarity was 0.394.,search,LAID Lightweight AI-Generated Image Detection in Spatial and Spectral Domains PST 2025,0.394,"Surface Plasmon Resonance-Based Biodetection Systems: Principles, Progress and Applications—A Comprehensive Review",2025,https://openalex.org/W4406214566,10.3390/bios15010035,https://doi.org/10.3390/bios15010035,,,
Spatial-Temporal Reconstruction Error for AIGC-based Forgery Image Detection,2025,"Chengji Shen, Zhenjiang Liu, Kaixuan Chen, Jie Lei, Mingli Song, Zunlei Feng",,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10890455,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ICASSP, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,Spatial-Temporal Reconstruction Error for AIGC-based Forgery Image Detection,1.000,Spatial-Temporal Reconstruction Error for AIGC-based Forgery Image Detection,2025,https://openalex.org/W4408355373,10.1109/icassp49660.2025.10890455,https://doi.org/10.1109/icassp49660.2025.10890455,https://openalex.org/W4408355373,10.1109/icassp49660.2025.10890455,https://doi.org/10.1109/icassp49660.2025.10890455
FairAdapter: Detecting AI-generated Images with Improved Fairness,2025,"Feng Ding, Jun Zhang, Xinan He, Jianfeng Xu 南昌大学",,,,https://ieeexplore.ieee.org/document/10890705,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ICASSP, 2025",linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,FairAdapter Detecting AI-generated Images with Improved Fairness,1.000,FairAdapter: Detecting AI-generated Images with Improved Fairness,2025,https://openalex.org/W4408352289,10.1109/icassp49660.2025.10890705,https://doi.org/10.1109/icassp49660.2025.10890705,https://openalex.org/W4408352289,10.1109/icassp49660.2025.10890705,https://doi.org/10.1109/icassp49660.2025.10890705
