title,year,risk_score,risk_level,main_reasons,current_institutions,current_countries,current_institution_authors,raw_affiliation_evidence,review_action,notes
Cascade learning from adversarial synthetic images for accurate pupil detection,2018,0,low,No specific local institution risk signal detected,Chinese Academy of Sciences | Shandong Institute of Automation | Qingdao Academy of Intelligent Industries | Rensselaer Polytechnic Institute,CN | US,"Chinese Academy of Sciences: Chao Gou, Hui Zhang, Kunfeng Wang, Fei‐Yue Wang | Shandong Institute of Automation: Chao Gou, Hui Zhang, Kunfeng Wang, Fei‐Yue Wang | Qingdao Academy of Intelligent Industries: Chao Gou, Kunfeng Wang, Fei‐Yue Wang | Rensselaer Polytechnic Institute: Qiang Ji","Chao Gou: Institute of Automation, Chinese Academy of Sciences, Beijing 100190, China | Chao Gou: Qingdao Academy of Intelligent Industries, Qingdao 266109, China | Hui Zhang: Institute of Automation, Chinese Academy of Sciences, Beijing 100190, China | Kunfeng Wang: Institute of Automation, Chinese Academy of Sciences, Beijing 100190, China | Kunfeng Wang: Qingdao Academy of Intelligent Industries, Qingdao 266109, China | Fei‐Yue Wang: Institute of Automation, Chinese Academy of Sciences, Beijing 100190, China | Fei‐Yue Wang: Qingdao Academy of Intelligent Industries, Qingdao 266109, China | Qiang Ji: Rensselaer Polytechnic Institute, Troy, NY 12180, USA",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
CNN Detection of GAN-Generated Face Images based on Cross-Band Co-occurrences Analysis,2020,0,low,No specific local institution risk signal detected,University of Siena,IT,"University of Siena: Mauro Barni, Kassem Kallas, Ehsan Nowroozi, Benedetta Tondi","Mauro Barni: Department of Information Engineering, University of Siena, Siena, ITALY | University of Siena | Kassem Kallas: Department of Information Engineering, University of Siena, Siena, ITALY | University of Siena,Department of Information Engineering,Siena,ITALY,53100 | Ehsan Nowroozi: Department of Information Engineering, University of Siena, Siena, ITALY | University of Siena,Department of Information Engineering,Siena,ITALY,53100 | Benedetta Tondi: Department of Information Engineering, University of Siena, Siena, ITALY | University of Siena,Department of Information Engineering,Siena,ITALY,53100",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
CNN-LSTM Model for Deepfake Image Detection,2024,0,low,No specific local institution risk signal detected,Allied Services | Dominican University,US,Allied Services: Reena S. Satpute | Dominican University: Chidozie Peter Onwe,"Reena S. Satpute: DMIHER,School of Allied Sciences,Sawangi (M) | Chidozie Peter Onwe: Dominican University,Department of Computer Science,Ibadan,Nigeria",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Combating Dataset Misalignment for Robust AI-Generated Image Detection in the Real World,2025,0,low,No specific local institution risk signal detected,Sungkyunkwan University,KR,"Sungkyunkwan University: Hyejoo Choi, Inho Jung, Simon S. Woo","Hyejoo Choi: Department of Artificial Intelligence, Sungkyunkwan University, South Korea | Inho Jung: Department of Computer Science and Engineering, Sungkyunkwan University, South Korea | Simon S. Woo: Department of Computer Science and Engineering, Sungkyunkwan University, South Korea",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Comparative Analysis of Custom CNN Architecture and MobileNet for Deepfake Image Detection,2025,0,low,No specific local institution risk signal detected,Canadian International College | Al-Azhar University | Scientific Research Group in Egypt,EG,"Canadian International College: Omar Khasro Akram, Abdelrahman Mohamed, Hager Magdy, Mariam M. Abdellatif, Sara Abdelghafar | Al-Azhar University: Mariam M. Abdellatif | Scientific Research Group in Egypt: Sara Abdelghafar","Omar Khasro Akram: School of Computer Science, Canadian International College (CIC), Cairo, Egypt | Abdelrahman Mohamed: School of Computer Science, Canadian International College (CIC), Cairo, Egypt | Hager Magdy: School of Computer Science, Canadian International College (CIC), Cairo, Egypt | Mariam M. Abdellatif: Mathematics Department, Faculty of Science, Al-Azhar University (Girls), Cairo, Egypt | Mariam M. Abdellatif: School of Computer Science, Canadian International College (CIC), Cairo, Egypt | Sara Abdelghafar: School of Computer Science, Canadian International College (CIC), Cairo, Egypt | Sara Abdelghafar: Scientific Research School of Egypt (SRSEG), Cairo, Egypt",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
"Comparative Analysis of Deepfake Image Detection Method Using VGG16, VGG19 and ResNet50",2024,0,low,No specific local institution risk signal detected,Universiti Putra Malaysia,MY,Universiti Putra Malaysia: Zahra Nazemi Ashani,"Zahra Nazemi Ashani: Institute for Mathematical Research, Universiti Putra Malaysia, Jalan Universiti 1, 43400 Serdang, Selangor, Malaysia",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Copy-Move Forgery Detection (CMFD) Using Deep Learning for Image and Video Forensics,2021,0,low,No specific local institution risk signal detected,Military University Nueva Granada,CO,"Military University Nueva Granada: Yohanna Rodríguez-Ortega, Dora M. Ballesteros, Diego Renza","Yohanna Rodríguez-Ortega: Faculty of Engineering, Universidad Militar Nueva Granada, Bogotá 110111, Colombia | Dora M. Ballesteros: Faculty of Engineering, Universidad Militar Nueva Granada, Bogotá 110111, Colombia | Diego Renza: Faculty of Engineering, Universidad Militar Nueva Granada, Bogotá 110111, Colombia",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
DE-FAKE: Detection and Attribution of Fake Images Generated by Text-to-Image Generation Models,2023,0,low,No specific local institution risk signal detected,Helmholtz Center for Information Security | Salesforce (United States),DE | US,"Helmholtz Center for Information Security: Zeyang Sha, Zheng Li, Yang Zhang | Salesforce (United States): Ning Yu","Zeyang Sha: CISPA Helmholtz Center for Information Security, Saarbrücken, Germany | Zheng Li: CISPA Helmholtz Center for Information Security, Saarbrücken, Germany | Ning Yu: Salesforce Research, Palo Alto, CA, USA | Yang Zhang: CISPA Helmholtz Center for Information Security, Saarbrücken, Germany",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Deep Fake Image Detection Based on Pairwise Learning,2020,0,low,No specific local institution risk signal detected,National Pingtung University of Science and Technology | National United University,TW,"National Pingtung University of Science and Technology: Chih–Chung Hsu, Yi-Xiu Zhuang | National United University: Chia‐Yen Lee","Chih–Chung Hsu: Department of Management Information System, National Pingtung University of Science and Technology, 1, Shuefu Road, Neipu, Pingtung 91201, Taiwan | Yi-Xiu Zhuang: Department of Management Information System, National Pingtung University of Science and Technology, 1, Shuefu Road, Neipu, Pingtung 91201, Taiwan | Chia‐Yen Lee: Department of Electrical Engineering, National United University, 2, Lienda, Miaoli 36063, Taiwan",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Deep Learning applied to Road Accident Detection with Transfer Learning and Synthetic Images,2022,0,low,No specific local institution risk signal detected,University of Coimbra | University of Southern Denmark,PT | DK,"University of Coimbra: Tiago Tamagusko, Matheus Gomes Correia, Adelino Ferreira | University of Southern Denmark: Minh Anh Huynh","Tiago Tamagusko: Univ Coimbra, CITTA - Research Centre for Territory, Transports and Environment, Department of Civil Engineering, Coimbra, Portugal | Matheus Gomes Correia: Univ Coimbra, CITTA - Research Centre for Territory, Transports and Environment, Department of Civil Engineering, Coimbra, Portugal | Minh Anh Huynh: University of Southern Denmark, Faculty of Engineering, Sønderborg, Denmark | Adelino Ferreira: Univ Coimbra, CITTA - Research Centre for Territory, Transports and Environment, Department of Civil Engineering, Coimbra, Portugal",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Deepfake attribution: On the source identification of artificially generated images,2021,0,low,No specific local institution risk signal detected,Monash University Malaysia | Monash University,MY | AU,"Monash University Malaysia: Brandon Khoo, Raphaël C.‐W. Phan, Chern Hong Lim | Monash University: Raphaël C.‐W. Phan","Brandon Khoo: School of IT Monash University, Malaysia campus Subang Jaya Malaysia | School of IT, Monash University, Malaysia campus, Subang Jaya, Malaysia | Raphaël C.‐W. Phan: School of IT Monash University, Malaysia campus Subang Jaya Malaysia | School of IT, Monash University, Malaysia campus, Subang Jaya, Malaysia | Raphaël C.‐W. Phan: Department of Software Systems &amp; Cybersecurity, Faculty of IT Monash University Melbourne Victoria Australia | Department of Software Systems & Cybersecurity, Faculty of IT, Monash University, Melbourne, Victoria, Australia | Chern Hong Lim: School of IT Monash University, Malaysia campus Subang Jaya Malaysia | School of IT, Monash University, Malaysia campus, Subang Jaya, Malaysia",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
DeepFake Detection Improvement for Images Based on a Proposed Method for Local Binary Pattern of the Multiple-Channel Color Space,2023,0,low,No specific local institution risk signal detected,,,,,No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Deepfake detection using deep learning methods: A systematic and comprehensive review,2023,0,low,No specific local institution risk signal detected,Haliç University | Kadir Has University | National Yunlin University of Science and Technology | İstanbul Nişantaşı Üniversitesi,TR | TW,"Haliç University: Arash Heidari | Kadir Has University: Nima Jafari Navimipour, Hasan Dağ | National Yunlin University of Science and Technology: Nima Jafari Navimipour | İstanbul Nişantaşı Üniversitesi: Mehmet Ünal","Arash Heidari: Department of Software Engineering Haliç University Istanbul Turkey | Nima Jafari Navimipour: Department of Computer Engineering Kadir Has Universitesi Istanbul Turkey | Department of Computer Engineering, Kadir Has Universitesi, Istanbul, Turkey | Nima Jafari Navimipour: Future Technology Research Center National Yunlin University of Science and Technology Douliou Taiwan | Future Technology Research Center, National Yunlin University of Science and Technology, Douliou, Taiwan | Hasan Dağ: Management Information Systems Kadir Has Universitesi Istanbul Turkey | Management Information Systems, Kadir Has Universitesi, Istanbul, Turkey | Mehmet Ünal: Department of Computer Engineering Nisantasi Universitesi Istanbul Turkey | Department of Computer Engineering, Nisantasi Universitesi, Istanbul, Turkey",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
DeepFake Face Image Detection based on Improved VGG Convolutional Neural Network,2020,0,low,No specific local institution risk signal detected,Shandong University of Political Science and Law,CN,"Shandong University of Political Science and Law: Xu Chang, Jian Wu, Tongfeng Yang, Guorui Feng","Xu Chang: School of Cyber Security, Shandong University of Political Science and Law, Jinan | Jian Wu: School of Cyber Security, Shandong University of Political Science and Law, Jinan | Tongfeng Yang: School of Cyber Security, Shandong University of Political Science and Law, Jinan | Guorui Feng: School of Cyber Security, Shandong University of Political Science and Law, Jinan",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
DeepFake Image Detection,2024,0,low,No specific local institution risk signal detected,AISSMS Institute of Information Technology,IN,AISSMS Institute of Information Technology: Mrs. Prajwal S,"Mrs. Prajwal S: Department of Computer Engineering AISSMS Institute of Information Technology, Pune",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Deepfake Image Detection using CNNs and Transfer Learning,2021,0,low,No specific local institution risk signal detected,National Institute of Technology Karnataka,IN,"National Institute of Technology Karnataka: Niteesh Kumar, Prashant Pranav, Vishal Nirney, V. Geetha","Niteesh Kumar: NITK Surathkal,Dept. of IT,Karnataka,India | Prashant Pranav: NITK Surathkal,Dept. of IT,Karnataka,India | Vishal Nirney: NITK Surathkal,Dept. of IT,Karnataka,India | V. Geetha: NITK Surathkal,Dept. of IT,Karnataka,India",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Deepfake Image Detection Using Convolutional Neural Network,2025,0,low,No specific local institution risk signal detected,University of Engineering & Management,IN,"University of Engineering & Management: Gouri Morankar, Rahul Tripathi, Shaili Dhanore, Yash Tiwari","Gouri Morankar: Department of Electronics Engineering, Shri Ramdeobaba College of Engineering & Management, Nagpur, Maharashtra, India | Rahul Tripathi: Department of Electronics Engineering, Shri Ramdeobaba College of Engineering & Management, Nagpur, Maharashtra, India | Shaili Dhanore: Department of Electronics Engineering, Shri Ramdeobaba College of Engineering & Management, Nagpur, Maharashtra, India | Yash Tiwari: Department of Electronics Engineering, Shri Ramdeobaba College of Engineering & Management, Nagpur, Maharashtra, India",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Deepfake Image Detection Using Light-Weight Attention Integrated MobileNetV3 Model,2025,0,low,No specific local institution risk signal detected,Amrita Vishwa Vidyapeetham,IN,"Amrita Vishwa Vidyapeetham: Talluri Harshitha, Tanya Simhadri, Thadakuluru Jaswanthi, N. Rayvanth, Rimjhim Padam Singh","Talluri Harshitha: Department of Computer Science and Engineering, Amrita School of Computing, Bengaluru, Amrita Vishwa Vidyapeetham, Bengaluru, India | Tanya Simhadri: Department of Computer Science and Engineering, Amrita School of Computing, Bengaluru, Amrita Vishwa Vidyapeetham, Bengaluru, India | Thadakuluru Jaswanthi: Department of Computer Science and Engineering, Amrita School of Computing, Bengaluru, Amrita Vishwa Vidyapeetham, Bengaluru, India | N. Rayvanth: Department of Computer Science and Engineering, Amrita School of Computing, Bengaluru, Amrita Vishwa Vidyapeetham, Bengaluru, India | Rimjhim Padam Singh: Department of Computer Science and Engineering, Amrita School of Computing, Bengaluru, Amrita Vishwa Vidyapeetham, Bengaluru, India",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Deepfake Image Detection Using Vision Transformer Models,2024,0,low,No specific local institution risk signal detected,King's College London | Sheffield Hallam University | Leeds Beckett University | University of Plymouth,GB,"King's College London: Bogdan Ghita, Ievgeniia Kuzminykh, Abubakar Usama, Taimur Bakhshi, Jims Marchang | Sheffield Hallam University: Bogdan Ghita, Abubakar Usama, Taimur Bakhshi, Jims Marchang | Leeds Beckett University: Bogdan Ghita, Abubakar Usama, Taimur Bakhshi, Jims Marchang | University of Plymouth: Bogdan Ghita, Abubakar Usama, Taimur Bakhshi, Jims Marchang","Bogdan Ghita: Ievgeniia Kuzminykh King's College London London, UK | Bogdan Ghita: Sheffield Hallam University Sheffield, UK | Bogdan Ghita: Leeds Beckett University Leeds, UK | Bogdan Ghita: University of Plymouth,Plymouth,UK | University of Plymouth Plymouth, UK | Ievgeniia Kuzminykh: King&#x0027;s College London,London,UK | Abubakar Usama: Ievgeniia Kuzminykh King's College London London, UK | Abubakar Usama: Sheffield Hallam University Sheffield, UK | Abubakar Usama: Leeds Beckett University Leeds, UK | Abubakar Usama: University of Plymouth,Plymouth,UK | University of Plymouth Plymouth, UK | Taimur Bakhshi: Ievgeniia Kuzminykh King's College London London, UK | Taimur Bakhshi: Sheffield Hallam University Sheffield, UK | Taimur Bakhshi: Leeds Beckett University,Leeds,UK | Leeds Beckett University Leeds, UK | Taimur Bakhshi: University of Plymouth Plymouth, UK | Jims Marchang: Ievgeniia Kuzminykh King's College London London, UK | Jims Marchang: Sheffield Hallam University,Sheffield,UK | Sheffield Hallam University Sheffield, UK | Jims Marchang: Leeds Beckett University Leeds, UK | Jims Marchang: University of Plymouth Plymouth, UK",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Deepfake Image Detection Using Yolov8,2024,0,low,No specific local institution risk signal detected,International Institute of Information Technology,IN,"International Institute of Information Technology: Pranav Sathe, Varad Sabane, Chaitanya Undale, Atharva Uttarkar, Vaibhav Chavhan, Nilesh P. Sable, Anuradha Yenkikar","Pranav Sathe: Vishwakarma Institute of Information Technology,Department of CSE &#x2013; Artificial Intelligence,Pune,India | Varad Sabane: Vishwakarma Institute of Information Technology,Department of CSE &#x2013; Artificial Intelligence,Pune,India | Chaitanya Undale: Vishwakarma Institute of Information Technology,Department of CSE &#x2013; Artificial Intelligence,Pune,India | Atharva Uttarkar: Vishwakarma Institute of Information Technology,Department of CSE &#x2013; Artificial Intelligence,Pune,India | Vaibhav Chavhan: Vishwakarma Institute of Information Technology,Department of CSE &#x2013; Artificial Intelligence,Pune,India | Nilesh P. Sable: Vishwakarma Institute of Information Technology,Department of CSE &#x2013; Artificial Intelligence,Pune,India | Anuradha Yenkikar: Vishwakarma Institute of Information Technology,Department of CSE &#x2013; Artificial Intelligence,Pune,India",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Deepfake Image Detection with Transfer Learning Models,2025,0,low,No specific local institution risk signal detected,Kahramanmaraş Sütçü İmam University,TR,"Kahramanmaraş Sütçü İmam University: Lutfi Emre Demir, Yavuz Canbay","Lutfi Emre Demir: KAHRAMANMARAS SUTCU IMAM UNIVERSITY | Yavuz Canbay: Kahramanmaraş Sütçü İmam Üniversitesi, Mühendislik ve Mimarlık Fakültesi, Bilgisayar Mühendisliği Bölümü",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Deepfakes Creation and Detection Using Deep Learning,2021,0,low,No specific local institution risk signal detected,Ain Shams University,EG,"Ain Shams University: Hady A. Khalil, Shady A. Maged","Hady A. Khalil: Ain Shams University, Cairo, Egypt | Shady A. Maged: Ain Shams University, Cairo, Egypt",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
DeepGuard: Identification and Attribution of AI-Generated Synthetic Images,2025,0,low,No specific local institution risk signal detected,University Frères Mentouri Constantine 1 | Université Paris-Est Créteil | Paris-Est Sup | University of Portsmouth,DZ | FR | GB,"University Frères Mentouri Constantine 1: Yasmine Namani, Ikram Reghioua, Gueltoum Bendiab | Université Paris-Est Créteil: Mohamed Aymen Labiod | Paris-Est Sup: Mohamed Aymen Labiod | University of Portsmouth: Stavros Shiaeles","Yasmine Namani: Department of Electronics, University of Frères Mentouri, Constantine 25000, Algeria | Ikram Reghioua: Department of Electronics, University of Frères Mentouri, Constantine 25000, Algeria | Gueltoum Bendiab: Department of Electronics, University of Frères Mentouri, Constantine 25000, Algeria | Mohamed Aymen Labiod: Departement of Networks & Telecommunications (N&T) IUT CV, University of Paris-Est Creteil, LISSI, TincNET (CIR), F-94400 Vitry-sur-Seine, France | Stavros Shiaeles: Cyber Security Group, PAIDS Research Centre, School of Computing, University of Portsmouth, Portsmouth PO1 2UP, UK",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
DeepGuardNet: A Novel CNN Architecture for DeepFake Image Detection,2025,0,low,No specific local institution risk signal detected,University of Kerala,IN,"University of Kerala: Arvanitis Theodoros N., Philomina Simon","Arvanitis Theodoros N.: Department of Computer Science, University of Kerala, Kariavattom, Thiruvananthapuram, Kerala, India | Philomina Simon: Department of Computer Science, University of Kerala, Kariavattom, Thiruvananthapuram, Kerala, India",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
DeepSight: Enhancing Deepfake Image Detection and Classification through Ensemble and Deep Learning Techniques,2024,0,low,No specific local institution risk signal detected,St. Joseph's Institute of Technology | PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH,IN,St. Joseph's Institute of Technology: T. Manju | PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH: S. Kalarani,"T. Manju: St. Joseph&#x2019;s Institute of Technology,Information Technology,Chennai,Tamil Nadu | S. Kalarani: PSG Institute of Technology and Applied Research,Department of Computer Science and Engineering,Coimbatore,Tamil Nadu",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Detecting AI-Generated Images Using a Hybrid ResNet-SE Attention Model,2025,0,low,No specific local institution risk signal detected,Texas Tech University | Louisiana State University of Alexandria,US,"Texas Tech University: Abhilash Reddy Gunukula, Victor S. Sheng | Louisiana State University of Alexandria: Himel Das Gupta","Abhilash Reddy Gunukula: Department of Computer Science, Texas Tech University, Lubbock, TX 79409, USA | Himel Das Gupta: Department of Mathematics and Computer Science, Louisiana State University of Alexandria, Alexandria, LA 71302, USA | Victor S. Sheng: Department of Computer Science, Texas Tech University, Lubbock, TX 79409, USA",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Detecting AI-Generated Images Using Facial Similarity and Feature Extraction for Digital Security,2025,0,low,No specific local institution risk signal detected,National Taiwan University of Science and Technology,TW,"National Taiwan University of Science and Technology: Man-Ling Liao, Jiann-Liang Chen, Candra Ahmadi","Man-Ling Liao: National Taiwan University of Science and Technology, Taipei City, Taiwan | Jiann-Liang Chen: National Taiwan University of Science and Technology, Taipei City, Taiwan | Candra Ahmadi: National Taiwan University of Science and Technology, Taipei City, Taiwan",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Detecting AI-Generated Images Using Vision Transformers: A Robust Approach for Safeguarding Visual Media Integrity,2025,0,low,No specific local institution risk signal detected,New York University,US,"New York University: Nouar AlDahoul, Yasir Zaki",Nouar AlDahoul: New York University | Yasir Zaki: New York University,No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Detecting AI-Generated Images via Diffusion Snap-Back Reconstruction: A Forensic Approach,2026,0,low,No specific local institution risk signal detected,University of Rajshahi,BD,"University of Rajshahi: Mohd Ruhul Ameen, Akif Islam","Mohd Ruhul Ameen: University of Rajshahi,Department of Computer Science and Engineering,Rajshahi,Bangladesh | Akif Islam: University of Rajshahi,Department of Computer Science and Engineering,Rajshahi,Bangladesh",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Detecting AI-generated images with CNN and Interpretation using Explainable AI,2024,0,low,No specific local institution risk signal detected,Amrita Vishwa Vidyapeetham,IN,"Amrita Vishwa Vidyapeetham: Bharathi Mohan G, R Prasanna Kumar, Akilesh rao S, Mandava Sukesh, D M Abinandhini, Y Jaikanth","Bharathi Mohan G: Amrita School of Computing Amrita Vishwa Vidyapeetham,Department of Computer Science and Engineering,Chennai,India | R Prasanna Kumar: Amrita School of Computing Amrita Vishwa Vidyapeetham,Department of Computer Science and Engineering,Chennai,India | Akilesh rao S: Amrita School of Computing Amrita Vishwa Vidyapeetham,Department of Computer Science and Engineering,Chennai,India | Mandava Sukesh: Amrita School of Computing Amrita Vishwa Vidyapeetham,Department of Computer Science and Engineering,Chennai,India | D M Abinandhini: Amrita School of Computing Amrita Vishwa Vidyapeetham,Department of Computer Science and Engineering,Chennai,India | Y Jaikanth: Amrita School of Computing Amrita Vishwa Vidyapeetham,Department of Computer Science and Engineering,Chennai,India",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Detecting Deepfake Images Using Deep Learning Techniques and Explainable AI Methods,2022,0,low,No specific local institution risk signal detected,North South University | Princess Nourah bint Abdulrahman University | Taif University | CT Group Of Institutions,BD | SA | IN,"North South University: Wahidul Hasan Abir, Faria Rahman Khanam, Kazi Nabiul Alam, Mohammad Monirujjaman Khan | Princess Nourah bint Abdulrahman University: Myriam Hadjouni, Hela Elmannai | Taif University: Sami Bourouis | CT Group Of Institutions: Rajesh Dey","Wahidul Hasan Abir: Department of Electrical and Computer Engineering, North South University, Bashundhara, Dhaka, 1229, Bangladesh | Faria Rahman Khanam: Department of Electrical and Computer Engineering, North South University, Bashundhara, Dhaka, 1229, Bangladesh | Kazi Nabiul Alam: Department of Electrical and Computer Engineering, North South University, Bashundhara, Dhaka, 1229, Bangladesh | Myriam Hadjouni: Department of Computer Sciences, College of Computer and Information Sciences, Princess Nourah bint Abdulrahman University, P.O. Box 84428, Riyadh, 11671, Saudi Arabia | Hela Elmannai: Department of Information Technology, College of Computer and Information Sciences, Princess Nourah bint Abdulrahman University, P.O. Box 84428, Riyadh, 11671, Saudi Arabia | Sami Bourouis: Department of Information Technology, College of Computers and Information Technology, Taif University, Taif, 21944, Saudi Arabia | Rajesh Dey: Department of Electronics and Communication Engineering, Brainware Group of Institutions-SDET, Barasat, Kolkata, 700124, West Bengal, India | Mohammad Monirujjaman Khan: Department of Electrical and Computer Engineering, North South University, Bashundhara, Dhaka, 1229, Bangladesh",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Detecting fake images by identifying potential texture difference,2021,0,low,No specific local institution risk signal detected,Tianjin University | Jacksonville University,CN | US,"Tianjin University: Jiachen Yang, Shuai Xiao, Aiyun Li, Guipeng Lan | Jacksonville University: Huihui Wang","Jiachen Yang: School of Electrical and Information Engineering, Tianjin University, Tianjin, PR China | Shuai Xiao: School of Electrical and Information Engineering, Tianjin University, Tianjin, PR China | Aiyun Li: School of Electrical and Information Engineering, Tianjin University, Tianjin, PR China | Guipeng Lan: School of Electrical and Information Engineering, Tianjin University, Tianjin, PR China | Huihui Wang: Department of Engineering Jacksonville University, Jacksonville, FL, USA | Department of Engineering, Jacksonville University, Jacksonville, FL, USA",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Detecting soybean leaf disease from synthetic image using multi-feature fusion faster R-CNN,2021,0,low,No specific local institution risk signal detected,Northeast Agricultural University,CN,"Northeast Agricultural University: Keke Zhang, Qiufeng Wu, Yiping Chen","Keke Zhang: College of Engineering, Northeast Agricultural University, Harbin 150030, China | Qiufeng Wu: College of Arts and Sciences, Northeast Agricultural University, Harbin 150030, China | Yiping Chen: College of Engineering, Northeast Agricultural University, Harbin 150030, China",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
"Detection, Attribution and Localization of GAN Generated Images",2021,0,low,No specific local institution risk signal detected,"University of California, Santa Barbara | Mayachitra (United States)",US,"University of California, Santa Barbara: Michael Goebel, Lakshmanan Nataraj, Tejaswi Nanjundaswamy, Tajuddin Manhar Mohammed, Shivkumar Chandrasekaran, B.S. Manjunath | Mayachitra (United States): Michael Goebel, Lakshmanan Nataraj, Tejaswi Nanjundaswamy, Tajuddin Manhar Mohammed, Shivkumar Chandrasekaran, B.S. Manjunath","Michael Goebel: University of California Santa Barbara, California | Michael Goebel: Mayachitra, Inc. Santa Barbara, California | Mayachitra, Inc | Lakshmanan Nataraj: University of California Santa Barbara, California | Lakshmanan Nataraj: Mayachitra, Inc. Santa Barbara, California | Mayachitra, Inc | Tejaswi Nanjundaswamy: University of California Santa Barbara, California | Tejaswi Nanjundaswamy: Mayachitra, Inc. Santa Barbara, California | Mayachitra, Inc | Tajuddin Manhar Mohammed: University of California Santa Barbara, California | Tajuddin Manhar Mohammed: Mayachitra, Inc. Santa Barbara, California | Mayachitra, Inc | Shivkumar Chandrasekaran: University of California Santa Barbara, California | Shivkumar Chandrasekaran: Mayachitra, Inc | Mayachitra, Inc. Santa Barbara, California | B.S. Manjunath: University of California Santa Barbara, California | B.S. Manjunath: Mayachitra, Inc | Mayachitra, Inc. Santa Barbara, California",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Detection of AI-Generated Synthetic Images with a Lightweight CNN,2024,0,low,No specific local institution risk signal detected,University of Applied Health Sciences | University of Maribor,HR | SI,"University of Applied Health Sciences: Adrian Lokner Lađević, Tin Kramberger, Renata Kramberger | University of Maribor: Dino Vlahek","Adrian Lokner Lađević: Department of Information Technology and Computing, Zagreb University of Applied Sciences, Vrbik 8, 10000 Zagreb, Croatia | Tin Kramberger: Department of Information Technology and Computing, Zagreb University of Applied Sciences, Vrbik 8, 10000 Zagreb, Croatia | Renata Kramberger: Department of Information Technology and Computing, Zagreb University of Applied Sciences, Vrbik 8, 10000 Zagreb, Croatia | Dino Vlahek: Faculty of Electrical Engineering and Computer Science, University of Maribor, Koroška Cesta 46, 2000 Maribor, Slovenia",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
