institution,canonical_institution_name,institution_id,detected_language,related_paper_id,title,year,doi,openalex_url,institution_authors,raw_affiliation,evidence_source,evidence_url,suggested_city,suggested_country,matched_institution,suggested_canonical_institution,match_method,similarity_score,confidence,openalex_institution_id,ror_id,wikidata_id,review_status,location_status,coordinate_status,created_at,updated_at
HSE University,HSE University,institution:95daf5606b8bd80c,,curated:fa317ff4ccce609227c0,Improving Interpretability and Robustness for the Detection of AI-Generated Images,2024,10.48550/arxiv.2406.15035,https://openalex.org/W4399991031,German Magai,"HSE University, Russia",PDF,https://arxiv.org/pdf/2406.15035v1,,,,,,,,,,,confirmed,known,known,2026-07-07T21:03:18Z,2026-07-07T21:45:00Z
Noeon Research,Noeon Research,institution:d1f71b03766ee0a2,,curated:fa317ff4ccce609227c0,Improving Interpretability and Robustness for the Detection of AI-Generated Images,2024,10.48550/arxiv.2406.15035,https://openalex.org/W4399991031,German Magai,"Noeon Research, Japan",PDF,https://arxiv.org/pdf/2406.15035v1,,,,,,,,,,,confirmed,known,known,2026-07-07T21:03:34Z,2026-07-07T21:58:03Z
Skolkovo Institute of Science and Technology,Skolkovo Institute of Science and Technology,institution:91d1003beb3bcb91,,curated:fa317ff4ccce609227c0,Improving Interpretability and Robustness for the Detection of AI-Generated Images,2024,10.48550/arxiv.2406.15035,https://openalex.org/W4399991031,Serguei Barannikov,"Skolkovo Institute of Science and Technology, Russia",PDF,https://arxiv.org/pdf/2406.15035v1,,,,,,,,,,,confirmed,known,known,2026-07-07T21:03:59Z,2026-07-07T22:11:47Z
CNRS,French National Centre for Scientific Research,institution:29645bb566fcd576,,curated:fa317ff4ccce609227c0,Improving Interpretability and Robustness for the Detection of AI-Generated Images,2024,10.48550/arxiv.2406.15035,https://openalex.org/W4399991031,Serguei Barannikov,"CNRS, Université Paris Cité, France",PDF,https://arxiv.org/pdf/2406.15035v1,,,French National Centre for Scientific Research,,,,,,,,alias_of_confirmed,known,known,2026-07-07T21:04:22Z,2026-07-07T22:05:10Z
Steklov Institute of Mathematics,St. Petersburg Department of the Steklov Institute of Mathematics,institution:a202a16ef9383442,,curated:fa317ff4ccce609227c0,Improving Interpretability and Robustness for the Detection of AI-Generated Images,2024,10.48550/arxiv.2406.15035,https://openalex.org/W4399991031,Sergey Nikolenko,"St. Petersburg Department of the Steklov Institute of Mathematics, Russia",PDF,https://arxiv.org/pdf/2406.15035v1,,,,,,,,,,,ignore,known,known,2026-07-07T21:05:25Z,2026-07-21T23:16:37Z
Fujitsu Research of Europe,Fujitsu Research of Europe,institution:90cbfdc3d90fe8a0,,curated:f105a82454d369e100b9,General and Domain-Specific Zero-shot Detection of Generated Images via Conditional Likelihood,2026,10.1109/wacv61042.2026.00754,https://openalex.org/W4417143023,Roy Betser; Omer Hofman; Roman Vainshtein,Fujitsu Research of Europe,OpenAlex authorships,https://openalex.org/W4417143023,,,,,,,,,,,confirmed,known,known,2026-07-07T21:40:14Z,2026-07-07T21:55:06Z
Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,institution:9e5e300bb52918ca,,curated:f105a82454d369e100b9,General and Domain-Specific Zero-shot Detection of Generated Images via Conditional Likelihood,2026,10.1109/wacv61042.2026.00754,https://openalex.org/W4417143023,Roy Betser; Guy Gilboa,Technion - Israel Institute of Technology,OpenAlex authorships,https://openalex.org/W4417143023,,,,,,,,,,,confirmed,known,known,2026-07-07T21:40:18Z,2026-07-07T21:56:06Z
Université Paris Cité,Paris Cité University,institution:daff50b65ce469a3,,curated:fa317ff4ccce609227c0,Improving Interpretability and Robustness for the Detection of AI-Generated Images,2024,10.48550/arxiv.2406.15035,https://openalex.org/W4399991031,Serguei Barannikov,,PDF,https://arxiv.org/pdf/2406.15035v1,,,,,,,,,,,confirmed,known,known,2026-07-07T21:52:44Z,2026-07-07T21:57:08Z
St. Petersburg Department of the Steklov Institute of Mathematics,St. Petersburg Department of the Steklov Institute of Mathematics,institution:a202a16ef9383442,,curated:fa317ff4ccce609227c0,Improving Interpretability and Robustness for the Detection of AI-Generated Images,2024,10.48550/arxiv.2406.15035,https://openalex.org/W4399991031,Serguei Barannikov,"St. Petersburg Department of the Steklov Institute of Mathematics, Russia",PDF,https://arxiv.org/pdf/2406.15035v1,,,,,,,,,,,confirmed,known,known,2026-07-07T22:02:06Z,2026-07-07T22:04:52Z
IBM Thomas J. Watson Research Center,IBM Thomas J. Watson Research Center,institution:f5c8a9b792d3b901,,curated:fe2c4c4c423cdd91d6d3,Understanding and Improving Training-Free AI-Generated Image Detections with Vision Foundation Models,2024,10.48550/arxiv.2411.19117,https://openalex.org/W4405030035,Chung-Ting Tsai; Ching-Yun Ko; I-Hsin Chung; Pin-Yu Chen,IBM Thomas J. Watson Research Center,PDF,https://arxiv.org/pdf/2411.19117,,,,,,,,,,,confirmed,known,known,2026-07-07T22:03:48Z,2026-07-07T22:04:57Z
Shandong University,Shandong University,institution:b3d626f58155d650,,curated:8bdbf72555619e7893d3,Beyond Known Fakes: Generalized Detection of AI-Generated Images via Post-hoc Distribution Alignment,2025,10.48550/arxiv.2502.10803,https://openalex.org/W4407684102,Li Wang; Wenyu Chen; Xiangtao Meng; Zheng Li; Shanqing Guo,"School of Cyber Science and Technology, Shandong University; State Key Laboratory of Cryptography and Digital Economy Security, Shandong University; Shandong Key Laboratory of Artificial Intelligence Security, Shandong University",PDF,https://arxiv.org/pdf/2502.10803v2,,,,,,,,,,,confirmed,known,known,2026-07-07T22:05:10Z,2026-07-07T22:26:32Z
University College London,University College London,institution:fa3c75d12710670b,,curated:fa317ff4ccce609227c0,Improving Interpretability and Robustness for the Detection of AI-Generated Images,2024,10.48550/arxiv.2406.15035,https://openalex.org/W4399991031,Marting Benning,"Department of Computer Science, University College London, UK",PDF,https://arxiv.org/pdf/2406.15035v1,,,,,,,,,,,confirmed,known,known,2026-07-07T22:05:10Z,2026-07-07T22:29:15Z
"INSAIT, Sofia University ""St. Kliment Ohridski""","INSAIT, Sofia University ""St. Kliment Ohridski""",institution:507c5724052f23eb,,curated:f76424b401abe0c0fd0c,ImagiNet: A Multi-Content Benchmark for Synthetic Image Detection,2024,10.48550/arxiv.2407.20020,https://openalex.org/W4402963808,Delyan Boychev,"INSAIT, Sofia University ""St. Kliment Ohridski""",PDF,https://arxiv.org/pdf/2407.20020v3,,,,,,,,,,,confirmed,known,known,2026-07-07T22:18:21Z,2026-07-07T22:28:14Z
Hefei University of Technology,Hefei University of Technology,institution:f6342fd457763517,,openalex:W7135092069,Layer Consistency Matters: Elegant Latent Transition Discrepancy for Generalizable Synthetic Image Detection,2026,https://doi.org/10.48550/arxiv.2603.10598,https://openalex.org/W7135092069,Yawen Yang; Feng Li; Shuqi Kong; Yunfeng Diao; Xinjian Gao; Zenglin Shi; Meng Wang,,PDF,https://openaccess.thecvf.com/content/CVPR2026/papers/Yang_Layer_Consistency_Matters_Elegant_Latent_Transition_Discrepancy_for_Generalizable_Synthetic_CVPR_2026_paper.pdf,,,,,,,,,,,confirmed,known,known,2026-07-07T22:23:18Z,2026-07-07T22:27:16Z
Stanford University,Stanford University,institution:ed72534d79b73fac,,curated:f76424b401abe0c0fd0c,ImagiNet: A Multi-Content Benchmark for Synthetic Image Detection,2024,10.48550/arxiv.2407.20020,https://openalex.org/W4402963808,Radostin Cholakov,Stanford University,PDF,https://arxiv.org/pdf/2407.20020v3,,,,,,,,,,,confirmed,known,known,2026-07-07T22:30:11Z,2026-07-08T16:17:48Z
University of Amsterdam,University of Amsterdam,institution:4a9a14dbf4357b38,,openalex:W4415343792,LATTE: Latent Trajectory Embedding for Diffusion-Generated Image Detection,2025,https://doi.org/10.48550/arxiv.2507.03054,https://openalex.org/W4415343792,Ana Vasilcoiu; Ivona Najdenkoska; Zeno Geradts; Marcel Worring,,PDF,https://arxiv.org/pdf/2507.03054,,,,,,,,,,,confirmed,known,known,2026-07-07T22:30:11Z,2026-07-08T16:19:26Z
Netherlands Forensic Institute,Netherlands Forensic Institute,institution:bda289c20f284717,,openalex:W4415343792,LATTE: Latent Trajectory Embedding for Diffusion-Generated Image Detection,2025,https://doi.org/10.48550/arxiv.2507.03054,https://openalex.org/W4415343792,Ivona Najdenkoska; Zeno Geradts,Netherlands Forensic Institute (NFI),PDF,https://arxiv.org/pdf/2507.03054,,,,,,,,,,,confirmed,known,known,2026-07-07T22:30:11Z,2026-07-08T16:28:08Z
Purple Mountain Laboratories,Purple Mountain Laboratories,institution:a4cdf5c9d1038c90,,curated:d3e19d8cb61eb0e7d620,Attribution as Retrieval: Model-Agnostic AI-Generated Image Attribution,2026,10.48550/arxiv.2603.10583,https://openalex.org/W7135031331,Jie Gui,"Purple Mountain Laboratories, Nanjing 210000, China",PDF,https://arxiv.org/pdf/2603.10583,,,,,,,,,,,confirmed,known,known,2026-07-08T12:04:52Z,2026-07-08T16:27:12Z
University of Agder,University of Agder,institution:51bbeb5bfb404721,,curated:1d944c47839b3890a623,Are handcrafted filters helpful for attributing AI-generated images?,2024,10.1145/3664647.3680945,https://openalex.org/W4403791664,Athanasios V. Vasilakos,"University of Adger, Grimstad, Norway",OpenAlex authorships,https://openalex.org/W4403791664,,,,,,,,,,,confirmed,known,known,2026-07-08T15:25:15Z,2026-07-08T16:21:33Z
Electronics and Telecommunications Research Institute (ETRI),Electronics and Telecommunications Research Institute,institution:a2c9ccf9659160de,,curated:c87f234ea256991903e1,Dissect and Prune: Enhancing Robustness in AI-Generated Image Detection,2026,10.48550/arxiv.2606.10309,https://openalex.org/W7164168158,Dahye Kim; Jaehyun Choi; Hyun Seok Seong; Seongho Kim; Donghun Lee; Sungwon Yi; Jang-Ho Choi,"Korea AI Safety Institute (AISI), ETRI, Seongnam, South Korea",PDF,https://arxiv.org/pdf/2606.10309,,,,,,,,,,,ignore,missing,missing,2026-07-12T21:05:22Z,2026-07-12T21:56:24Z
University of Macau,University of Macau,institution:53e6219d595780e3,,curated:7ed4e932c4dac57d0136,DGS-Net: Distillation-Guided Gradient Surgery for CLIP Fine-Tuning in AI-Generated Image Detection,2026,10.48550/arxiv.2511.13108,https://openalex.org/W4416361369,Fan Wang,University of Macau,PDF,https://arxiv.org/pdf/2511.13108,,,,,,,,,,,confirmed,known,known,2026-07-12T21:07:58Z,2026-07-12T21:44:55Z
Korea AI Safety Institute (AISI),Korea AI Safety Institute,institution:696e90c102571ea3,,curated:c87f234ea256991903e1,Dissect and Prune: Enhancing Robustness in AI-Generated Image Detection,2026,10.48550/arxiv.2606.10309,https://openalex.org/W7164168158,Dahye Kim; Jaehyun Choi; Hyun Seok Seong; Seongho Kim; Donghun Lee; Sungwon Yi; Jang-Ho Choi,"Korea AI Safety Institute (AISI), ETRI, Seongnam, South Korea",PDF,https://arxiv.org/pdf/2606.10309,,,,,,,,,,,confirmed,known,known,2026-07-12T21:47:33Z,2026-07-12T21:50:24Z
Centre for Research and Technology Hellas (CERTH),Centre for Research and Technology Hellas,institution:f841aa8a7a0d29aa,,curated:98bed92571e23d5df139,AI-Generated Image Detection: Challenges and Recent Advances,2026,10.1007/978-3-032-11782-3_6,https://openalex.org/W7159927480,Symeon Papadopoulos; Vasileios Mezaris,"Information Technologies Institute, Centre for Research and Technology Hellas (CERTH)",,,,,,,,,,,,,ignore,missing,missing,2026-07-13T18:48:48Z,2026-07-15T12:56:19Z
University of Sheffield,University of Sheffield,institution:cf5d9a266441e5a7,,curated:98bed92571e23d5df139,AI-Generated Image Detection: Challenges and Recent Advances,2026,10.1007/978-3-032-11782-3_6,https://openalex.org/W7159927480,Kalina Bontcheva,"Department of Computer Science The University of Sheffield (USFD) Sheffield, UK",,,,,,,,,,,,,confirmed,known,known,2026-07-13T18:49:09Z,2026-07-13T19:07:29Z
Meta,Meta (United States),institution:357dc1b545173dd5,,curated:d4a9b3a3cef9bfbd0e32,Detecting AI-Generated Content on Social Media with Multi-modal Language Models,2026,10.18653/v1/2026.acl-industry.15,https://openalex.org/W7166864343,Yibo Yang; Litao Hu; Yuchen Liu; Yuan Zeng; Hanchao Yu; Yinan Zhu; Sumedha Singla; Brian Vanover; Huijun Qian; Zihao Wang; Fujun Liu; Aashu Singh; Jianyu Wang; Xuewen Zhang,Meta,,,,,Meta (United States),,,,,,,,alias_of_confirmed,known,known,2026-07-13T18:52:05Z,2026-07-13T21:25:38Z
Meta,Meta,institution:ea3bd73e2b506e00,,curated:d4a9b3a3cef9bfbd0e32,Detecting AI-Generated Content on Social Media with Multi-modal Language Models,2026,10.18653/v1/2026.acl-industry.15,https://openalex.org/W7166864343,Shen Yan; Yibo Yang; Litao Hu; Yuchen Liu; Yuan Zeng; Hanchao Yu; Yinan Zhu; Sumedha Singla; Brian Vanover; Huijun Qian; Zihao Wang; Fujun Liu; Aashu Singh; Jianyu Wang; Xuewen Zhang,Meta,,,,,,,,,,,,,pending_review,known,known,2026-07-13T18:54:10Z,2026-07-21T23:24:49Z
East China University of Science and Technology,East China University of Science and Technology,institution:82b627d49a985ef1,,curated:f40ecaaf5d0212852b79,Dual Data Alignment Makes AI-Generated Image Detector Easier Generalizable,2025,10.48550/arxiv.2505.14359,https://openalex.org/W4416562145,Junwei Xi; Xu Chen,East China University of Science and Technology,,,,,,,,,,,,,confirmed,known,known,2026-07-13T18:56:11Z,2026-07-13T19:10:40Z
The Hong Kong University of Science and Technology,The Hong Kong University of Science and Technology,institution:fa80d3c071c298e1,,curated:f40ecaaf5d0212852b79,Dual Data Alignment Makes AI-Generated Image Detector Easier Generalizable,2025,10.48550/arxiv.2505.14359,https://openalex.org/W4416562145,Isabel Guan,Hong Kong University of Science and Technology,,,New Territories,China,,,,,,,,,confirmed,known,known,2026-07-13T18:57:17Z,2026-08-09T10:50:24Z
Tongji University,Tongji University,institution:b0b93bb53a8b88c1,,curated:dbbb2e6ee311ee6198c3,FIND: A Simple Yet Effective Baseline for Diffusion-Generated Image Detection,2026,10.1609/aaai.v40i8.37547,https://openalex.org/W7138448571,Chi Xie,Tongji University,,,,,,,,,,,,,confirmed,known,known,2026-07-13T18:59:02Z,2026-07-13T19:08:49Z
Shenzhen University,Shenzhen University,institution:ad9c8964d01f80d8,,curated:f40ecaaf5d0212852b79,Dual Data Alignment Makes AI-Generated Image Detector Easier Generalizable,2025,10.48550/arxiv.2505.14359,https://openalex.org/W4416562145,Lei Xu,Shenzhen University,,,,,,,,,,,,,confirmed,known,known,2026-07-13T19:01:50Z,2026-07-13T19:08:23Z
Northeastern University,Northeastern University,institution:0008285766dcabc7,,curated:dbbb2e6ee311ee6198c3,FIND: A Simple Yet Effective Baseline for Diffusion-Generated Image Detection,2026,10.1609/aaai.v40i8.37547,https://openalex.org/W7138448571,Yingying Feng,Northeastern University,,,Shenyang,China,,,,,,,,,confirmed,known,known,2026-07-13T19:01:50Z,2026-07-20T16:08:42Z
National University of Singapore,National University of Singapore,institution:70ccb485197bbb6c,,curated:dbbb2e6ee311ee6198c3,FIND: A Simple Yet Effective Baseline for Diffusion-Generated Image Detection,2026,10.1609/aaai.v40i8.37547,https://openalex.org/W7138448571,Jie Hu; Lei Tan; Jiayi Ji,National University of Singapore,,,,,,,,,,,,,confirmed,known,known,2026-07-13T19:01:50Z,2026-07-13T19:04:27Z
NSFOCUS,NSFOCUS,institution:26db9b197bbb7634,,curated:dc9126cc128e1b228717,Transfer Learning of Real Image Features with Soft Contrastive Loss for Fake Image Detection,2025,https://doi.org/10.48550/arxiv.2403.16513,https://openalex.org/W4393213376,Xinyi Yang,NSFOCUS Technologies Group,,,,,,,,,,,,,confirmed,known,known,2026-07-13T19:57:46Z,2026-07-13T20:43:34Z
University of South Carolina,University of South Carolina,institution:7801abc579496f6a,,curated:613af6288792f6ece505,The Visual Counter Turing Test (VCT2): A Benchmark for Evaluating AI-Generated Image Detection and the Visual AI Index (VAI),2025,10.18653/v1/2025.ijcnlp-long.100,https://openalex.org/W4404988034,Nasrin Imanpour; Amit Sheth,University of South Carolina,,,,,,,,,,,,,confirmed,known,known,2026-07-13T20:01:05Z,2026-07-13T20:44:58Z
Manipal University Jaipur,Manipal University Jaipur,institution:1a36f9f1487a39da,,curated:613af6288792f6ece505,The Visual Counter Turing Test (VCT2): A Benchmark for Evaluating AI-Generated Image Detection and the Visual AI Index (VAI),2025,10.18653/v1/2025.ijcnlp-long.100,https://openalex.org/W4404988034,Abhilekh Borah,Manipal University Jaipur,,,,,,,,,,,,,confirmed,known,known,2026-07-13T20:01:16Z,2026-07-13T20:45:23Z
"BITS Pilani, Hyderabad","BITS Pilani, Hyderabad",institution:99ef70abd8f55fae,,curated:613af6288792f6ece505,The Visual Counter Turing Test (VCT2): A Benchmark for Evaluating AI-Generated Image Detection and the Visual AI Index (VAI),2025,10.18653/v1/2025.ijcnlp-long.100,https://openalex.org/W4404988034,Shashwat Bajpai,"BITS Pilani, Hyderabad",,,,,,,,,,,,,confirmed,known,known,2026-07-13T20:01:28Z,2026-07-13T21:14:51Z
Xpectrum AI,Xpectrum AI,institution:7266fd3d42f0b9ca,,curated:613af6288792f6ece505,The Visual Counter Turing Test (VCT2): A Benchmark for Evaluating AI-Generated Image Detection and the Visual AI Index (VAI),2025,10.18653/v1/2025.ijcnlp-long.100,https://openalex.org/W4404988034,Subhankar Ghosh,"Xpectrum AI, USA",,,,,,,,,,,,,confirmed,known,known,2026-07-13T20:01:51Z,2026-07-13T21:17:45Z
Vishwakarma Institute of Information Technology,Vishwakarma Institute of Information Technology,institution:cb1cf39b9e67e9ec,,curated:613af6288792f6ece505,The Visual Counter Turing Test (VCT2): A Benchmark for Evaluating AI-Generated Image Detection and the Visual AI Index (VAI),2025,10.18653/v1/2025.ijcnlp-long.100,https://openalex.org/W4404988034,Shreyas Dixit,"Vishwakarma Institute of Information Technology, India",,,,,,,,,,,,,confirmed,known,known,2026-07-13T20:03:23Z,2026-07-13T21:13:44Z
IIIT Delhi,Indraprastha Institute of Information Technology Delhi,institution:df7499422b3e4d82,,curated:613af6288792f6ece505,The Visual Counter Turing Test (VCT2): A Benchmark for Evaluating AI-Generated Image Detection and the Visual AI Index (VAI),2025,10.18653/v1/2025.ijcnlp-long.100,https://openalex.org/W4404988034,Ashhar Aziz,"IIIT Delhi, India",,,,,,,,,,,,,confirmed,known,known,2026-07-13T20:03:37Z,2026-07-26T17:35:46Z
National Institute of Technology Silchar,National Institute of Technology Silchar,institution:d4f85059258439dc,,curated:613af6288792f6ece505,The Visual Counter Turing Test (VCT2): A Benchmark for Evaluating AI-Generated Image Detection and the Visual AI Index (VAI),2025,10.18653/v1/2025.ijcnlp-long.100,https://openalex.org/W4404988034,Shwetangshu Biswas,"National Institute of Technology, Silchar, India",,,,,,,,,,,,,confirmed,known,known,2026-07-13T20:03:55Z,2026-07-13T20:51:35Z
Amazon AI,Amazon,institution:cbc62794911ff31b,,curated:613af6288792f6ece505,The Visual Counter Turing Test (VCT2): A Benchmark for Evaluating AI-Generated Image Detection and the Visual AI Index (VAI),2025,10.18653/v1/2025.ijcnlp-long.100,https://openalex.org/W4404988034,Vinija Jain,"Amazon AI, USA",,,,,,,,,,,,,confirmed,known,known,2026-07-13T20:04:10Z,2026-07-26T19:15:05Z
Amazon GenAI,Amazon,institution:cbc62794911ff31b,,curated:613af6288792f6ece505,The Visual Counter Turing Test (VCT2): A Benchmark for Evaluating AI-Generated Image Detection and the Visual AI Index (VAI),2025,10.18653/v1/2025.ijcnlp-long.100,https://openalex.org/W4404988034,Aman Chadha,"Amazon GenAI, USA",,,,,Amazon,,,,,,,,alias_of_confirmed,known,known,2026-07-13T20:04:50Z,2026-07-13T21:25:38Z
Shenzhen University of Advanced Technology,Shenzhen University of Advanced Technology,institution:498778a17add497f,,curated:613af6288792f6ece505,The Visual Counter Turing Test (VCT2): A Benchmark for Evaluating AI-Generated Image Detection and the Visual AI Index (VAI),2025,10.18653/v1/2025.ijcnlp-long.100,https://openalex.org/W4404988034,Song Wang,"4Shenzhen University of Advanced Technology, China",,,,,,,,,,,,,confirmed,known,known,2026-07-13T20:05:05Z,2026-07-13T20:48:09Z
"BITS Pilani, Goa","BITS Pilani, Goa",institution:e822c28c6d58a829,,curated:613af6288792f6ece505,The Visual Counter Turing Test (VCT2): A Benchmark for Evaluating AI-Generated Image Detection and the Visual AI Index (VAI),2025,10.18653/v1/2025.ijcnlp-long.100,https://openalex.org/W4404988034,Amitava Das,"5BITS Pilani, Goa, India",,,,,,,,,,,,,confirmed,known,known,2026-07-13T20:05:21Z,2026-07-13T21:12:25Z
"International Institute of Information Technology, Naya Raipur","International Institute of Information Technology, Naya Raipur",institution:118c2f047da4525d,,curated:613af6288792f6ece505,The Visual Counter Turing Test (VCT2): A Benchmark for Evaluating AI-Generated Image Detection and the Visual AI Index (VAI),2025,10.18653/v1/2025.ijcnlp-long.100,https://openalex.org/W4404988034,Sainath Reddy Sankepally,"International Institute of Information Technology, India IIIT-Naya Raipur inferred from the LinkedIn profile of the author",,,,,,,,,,,,,confirmed,known,known,2026-07-13T20:07:38Z,2026-08-22T16:48:13Z
Texas A&M University,Texas A&M University,institution:4e140b5268efc364,,curated:613af6288792f6ece505,The Visual Counter Turing Test (VCT2): A Benchmark for Evaluating AI-Generated Image Detection and the Visual AI Index (VAI),2025,10.18653/v1/2025.ijcnlp-long.100,https://openalex.org/W4404988034,Hasnat Md Abdullah,"Texas A&M University, USA",,,,,,,,,,,,,confirmed,known,known,2026-07-13T20:07:38Z,2026-07-13T20:48:43Z
"Binjiang Institute of Artificial Intelligence, ZJUT",Binjiang Institute of Artificial Intelligence,institution:2792f975d7b5565e,,curated:44a70bf5f21b5457102b,RealHD: A High-Quality Dataset for Robust Detection of State-of-the-Art AI-Generated Images,2025,10.48550/arxiv.2602.10546,https://openalex.org/W7128721813,Qi Xuan; Chen Ma,"Binjiang Institute of Artificial Intelligence, ZJUT Hangzhou, China",,,,,,,,,,,,,confirmed,known,known,2026-07-13T20:09:52Z,2026-07-13T21:03:56Z
Intel Corporation,Intel Corporation,institution:260c0fc69149bb41,,curated:44a70bf5f21b5457102b,RealHD: A High-Quality Dataset for Robust Detection of State-of-the-Art AI-Generated Images,2025,10.48550/arxiv.2602.10546,https://openalex.org/W7128721813,Yun Ye,"Intel Corporation Beijing, China",,,,,,,,,,,,,confirmed,known,known,2026-07-13T20:10:12Z,2026-07-13T21:10:11Z
Fujitsu Limited,Fujitsu Limited,institution:0da909b4402f8657,,openalex:W4414631013,Manifold Induced Biases for Zero-shot and Few-shot Detection of Generated Images,2025,10.48550/arxiv.2504.15470,https://openalex.org/W4414631013,Hisashi Kojima,Fujitsu Limited,,,,,,,,,,,,,confirmed,known,known,2026-07-13T20:23:01Z,2026-07-13T21:11:18Z
Technion - Israel Institute of Technology,Technion – Israel Institute of Technology,institution:9e5e300bb52918ca,,curated:4c10e64c5b8f09c7333e,Manifold Induced Biases for Zero-shot and Few-shot Detection of Generated Images,2025,10.48550/arxiv.2504.15470,https://openalex.org/W4414631013,Jonathan Brokman; Guy Gilboa,Technion - Israel Institute of Technology,,,,,,,,,,,,,confirmed,known,known,2026-07-13T20:23:54Z,2026-08-22T16:50:03Z
Sino-Russian Research Center for Digital Economy,Sino-Russian Research Center for Digital Economy,institution:387a46732b927ccd,,curated:078ade9edabe304013a7,ForensicConcept: Transferable Forensic Concepts for AIGI Detection,2026,10.48550/arxiv.2606.07034,https://openalex.org/W7163898036,Xiaoshuai Sun,Sino-Russian Research Center for Digital Economy,,,,,,,,,,,,,confirmed,known,known,2026-07-13T20:34:07Z,2026-07-13T21:07:52Z
Jaume I University,Jaume I University,institution:bc52939c5da8ad98,,curated:9b7e6c57a9f75e06fddf,CLIP-SegFusion: An Attention-Guided Feature Fusion Framework for Multi-Level Detection on AI-Generated Artworks,2026,10.1145/3805622.3810639,https://openalex.org/W7164834461,Eunil Park,"Jaume I University, Castellon, Spain",OpenAlex authorships,https://openalex.org/W7164834461,,,,,,,,,,,confirmed,known,known,2026-07-13T20:41:44Z,2026-07-13T20:49:49Z
"Binjiang Institute of Artificial Intelligence,",Binjiang Institute of Artificial Intelligence,institution:2792f975d7b5565e,,curated:44a70bf5f21b5457102b,RealHD: A High-Quality Dataset for Robust Detection of State-of-the-Art AI-Generated Images,2025,10.48550/arxiv.2602.10546,https://openalex.org/W7128721813,Qi Xuan; Chen Ma,"Binjiang Institute of Artificial Intelligence, ZJUT Hangzhou, China",,,,,,,,,,,,,confirmed,known,known,2026-07-13T21:01:33Z,2026-08-22T16:50:28Z
George Mason University,George Mason University,institution:39839f8732e7433b,,curated:6a5bef99dcdc1ad4ba28,DySy-Det: A Synergistic Framework with Dynamic Reconstruction-Path Consistency for AI-Generated Image Detection,2026,10.1609/aaai.v40i42.40868,https://openalex.org/W7139090785,Zhisheng Yan,"Department of Information Sciences and Technology, George Mason University",OpenAlex authorships,https://openalex.org/W7139090785,,,,,,,,,,,confirmed,known,known,2026-07-14T05:49:00Z,2026-07-14T06:35:14Z
Shenzhen Campus of Sun Yat-sen University,Shenzhen Campus of Sun Yat-sen University,institution:9ab7959736f7be0d,,curated:45cb3642fd138c136139,Decision-Driven Orthogonal Learning with Complementary Feature Mining for Robust Synthetic Image Detection,2026,10.1609/aaai.v40i8.37553,https://openalex.org/W7137819524,Wei Wang; Wenqi Ren,"School of Cyber Science and Technology, Shenzhen Campus of Sun Yat-sen University",,,Shenzhen,China,,,,,,,,,confirmed,known,known,2026-07-14T06:40:48Z,2026-07-15T13:43:44Z
China Electronics Technology Group Corporation,China Electronics Technology Group Corporation,institution:5757493192522b63,,curated:45cb3642fd138c136139,Decision-Driven Orthogonal Learning with Complementary Feature Mining for Robust Synthetic Image Detection,2026,10.1609/aaai.v40i8.37553,https://openalex.org/W7137819524,Linchao Zhang; Siying Zhu,Information Science Academy，China Electronics Technology Group Corporation,OpenAlex authorships,https://openalex.org/W7137819524,Beijing,China,,,,,,,,,confirmed,known,known,2026-07-14T06:43:11Z,2026-07-15T13:45:18Z
University of Palermo,University of Palermo,institution:a407f4c649ba4c6a,,curated:78e64e4829587c072681,Attribution of AI-Generated Images Across Multiple Models: a Benchmark,2025,10.1007/978-3-032-11381-8_32,https://openalex.org/W7122619085,Giuseppe Mazzola; Liliana Lo Presti; Marco La Cascia,"Dipartimento di Ingegneria, Università degli Studi di Palermo, 90128, Palermo, Italy",OpenAlex authorships,https://openalex.org/W7122619085,Palermo,Italy,,,,,,,,,confirmed,known,known,2026-07-14T06:44:38Z,2026-07-15T12:26:07Z
Florida International University,Florida International University,institution:dbb4589b8e2f8264,,curated:6976641cbfe602a7e617,Forensic Detection of Generated MRI Imagery Using Autoregressive Modeling and Frequency Analysis,2026,,,Arpan Mahara; Naphtali Rishe; Malek Adjouadi,"Florida International University, Miami, FL 33199, USA",,,Miami,United States,,,,,,,,,confirmed,known,known,2026-07-14T07:08:10Z,2026-07-15T12:55:28Z
Institute of Computing Technology,"Institute of Computing Technology, Chinese Academy of Sciences",institution:e278f75918ccf8a7,,openalex:W4386075764,Progressive Open Space Expansion for Open-Set Model Attribution,2023,10.1109/cvpr52729.2023.01522,https://openalex.org/W4386075764,Tianyun Yang; Danding Wang; Fan Tang; Xinying Zhao; Juan Cao; Sheng Tang,"Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China",,,Beijing,China,,,,,,,,,alias_of_confirmed,known,known,2026-07-15T13:02:27Z,2026-07-15T13:51:44Z
Zhejiang Lab,Zhejiang Lab,institution:2f8c9f8f9209013d,,openalex:W4386075764,Progressive Open Space Expansion for Open-Set Model Attribution,2023,10.1109/cvpr52729.2023.01522,https://openalex.org/W4386075764,Sheng Tang,"Research Institute of Intelligent Computing, Zhejiang Lab, Hangzhou, China",,,Hangzhou,China,,,,,,,,,confirmed,known,known,2026-07-15T13:02:27Z,2026-07-15T13:41:33Z
